algorithm,params,n_rows,n_seeds,n_f0,mean_relative_error_mean,mean_relative_error_std,mean_relative_error_cv,rmse_mean,rmse_std,rmse_cv,variance_mean,variance_std,variance_cv,bias_mean,bias_std,bias_cv
HyperLogLog,"k=7,L=32",20,5,4,0.0721187046,0.005701153083391985,0.07905235008050858,312574.9046959,289014.7172195669,0.9246254669764533,27469824639.5765,45588384699.93704,1.6595804777820335,-260093.598,294666.6173539637,1.1329252992761618
HyperLogLog,"k=9,L=32",20,5,4,0.0346386812,0.0044662597730416274,0.12893850511380403,143826.40024505003,132827.53754394557,0.9235268164790004,8802106766.0085,14889222876.497652,1.6915521786211511,-101584.70800000001,139553.8487767182,1.3737682720584103
HyperLogLog,"k=11,L=32",20,5,4,0.017235153599999997,0.002307791769211115,0.1339002728244392,71383.30513185,66509.10189697708,0.9317178824114418,2413735006.7552004,4108931179.680065,1.7023124610533482,-44886.861,71947.15354187404,1.6028555336465617
HyperLogLog,"k=6,L=32",20,5,4,0.093039706,0.01421895408330983,0.15282673059295598,401169.790994,393768.6680188167,0.9815511458207131,58788063715.84499,96747868853.88567,1.645705994358332,-267903.00800000003,433897.82059992704,1.6196078716664764
HyperLogLog,"k=16,L=32",20,5,4,0.002736079,0.0004801181704484187,0.1754767206825602,10711.884798739999,9044.364241508076,0.8443298645791946,73553991.25889,126307478.1936194,1.717207673327359,-6890.394,8759.628288458483,1.2712811906631876
HyperLogLog++,k=7,20,5,4,0.0721157206,0.005701527683153333,0.07906081552977413,312547.15110240004,288976.5386303779,0.924585418907563,27470165907.876503,45589010814.76781,1.6595826529644693,-260064.383,294624.7276805659,1.1328914951055251
HyperLogLog++,k=9,20,5,4,0.034637561,0.004466702431407689,0.12895545478527456,143815.36569505,132811.7372248001,0.9234878107977539,8802111281.7585,14889234681.399889,1.6915526519479875,-101572.749,139535.9854836056,1.3737541501766934
HyperLogLog++,k=11,20,5,4,0.017234632200000006,0.0023079419862651294,0.13391303971460028,71377.99244135,66501.22270173834,0.9316768436206887,2413740041.1252003,4108940983.2132587,1.702312972070437,-44880.937,71938.17556563158,1.6028670605881419
HyperLogLog++,k=18,20,5,4,0.0013697459999999998,0.00018683613661286475,0.13640203118889543,5877.293040959999,5319.315811867626,0.9050622071753575,16545631.413907,28202789.78227211,1.7045459962662404,3829.828,5669.924056398119,1.4804644115605503
HyperLogLog++,k=6,20,5,4,0.0930347466,0.014216683296091477,0.15281046937458395,401120.934029,393690.95604716893,0.981476962802211,58789230196.84499,96749925912.34978,1.6457083310735714,-267846.608,433815.0140975101,1.6196397532781526
LogLog,"k=8,L=32",20,5,4,0.05653343679999999,0.0065654337974472695,0.11613364000271201,232278.95399090002,213361.0062568307,0.9185550502573279,19770671950.419502,32775822718.438488,1.6578001395518092,-179155.992,219396.678781052,1.2246125643458914
LogLog,"k=11,L=32",20,5,4,0.020694941200000004,0.0026320791153532797,0.12718466266303183,85558.27616455001,80109.774690805,0.9363182415776333,2955011013.82945,5032278572.458396,1.702964404838877,-61727.255000000005,84047.29882456247,1.3615913881892605
LogLog,"k=15,L=32",20,5,4,0.005614671000000001,0.0009805790487587586,0.17464586059606316,26902.164713379996,28516.470967384164,1.0600065560226564,186379944.59039503,308530742.5270851,1.6553859547771592,-20941.012,30350.198084775522,1.4493185947639744
LogLog,"k=5,L=32",20,5,4,0.19516691059999997,0.04376754319285609,0.22425698628062465,928136.2783885,1031595.7141118645,1.111470091335077,98237939137.44,150357288640.54614,1.530541967398038,-811841.931,1084365.7770389665,1.3356858467550212
LogLog,"k=12,L=32",20,5,4,0.020497243399999997,0.005024511206545981,0.2451310699928548,106208.63366580001,114027.65373707315,1.0736194394127765,1433149927.45925,2397714626.9692183,1.6730382362855714,-96425.058,116664.99791734692,1.2099033211610504
Probabilistic Counting,L=1,20,5,4,0.9999943500000003,8.530286599750901e-06,8.530334796142498e-06,4024998.0,4013382.219787353,0.997114090438642,0.0,0.0,,-4024998.0,4013382.219787353,0.997114090438642
Probabilistic Counting,L=2,20,5,4,0.9999858750000004,2.132571649934326e-05,2.132601772934368e-05,4024995.0,4013382.219787353,0.9971148336301916,0.0,0.0,,-4024995.0,4013382.219787353,0.9971148336301916
Probabilistic Counting,L=3,20,5,4,0.9999717499999999,4.265143299869834e-05,4.265263793572003e-05,4024990.0,4013382.219787353,0.9971160722852362,0.0,0.0,,-4024990.0,4013382.219787353,0.9971160722852362
Probabilistic Counting,L=4,20,5,4,0.9999435000000002,8.530286599738486e-05,8.530768588163716e-05,4024980.0,4013382.219787353,0.9971185496045578,0.0,0.0,,-4024980.0,4013382.219787353,0.9971185496045578
Probabilistic Counting,L=5,20,5,4,0.9998841750000004,0.00017487087529466662,0.0001748911320600374,4024959.0,4013382.219787353,0.9971237520152014,0.0,0.0,,-4024959.0,4013382.219787353,0.9971237520152014
