algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog++,k=18,normal,50,10000000,10000000,100000,21041998,100000,99976.84,18835.89224,137.2439151,0.00203125,0.001372439151,-23.16,23.16,-0.0002316,0.0011188,137.824381,111.88
HyperLogLog++,k=18,normal,50,10000000,10000000,100000,42,100000,99946.24,21946.75755,148.1443808,0.00203125,0.001481443808,-53.76,53.76,-0.0005376,0.0012764,156.1984635,127.64
HyperLogLog++,k=18,normal,50,10000000,10000000,100000,137357,100000,100051.2,27995.79592,167.3194427,0.00203125,0.001673194427,51.2,51.2,0.000512,0.001366,173.3704704,136.6
HyperLogLog++,k=18,normal,50,10000000,10000000,100000,10032018,100000,100021.4,23335.63265,152.7600493,0.00203125,0.001527600493,21.4,21.4,0.000214,0.0012548,152.7313982,125.48
HyperLogLog++,k=18,normal,50,10000000,10000000,100000,29042026,100000,99958.4,20638.93878,143.6625866,0.00203125,0.001436625866,-41.6,41.6,-0.000416,0.0011704,148.1780011,117.04
HyperLogLog++,k=18,normal,50,10000000,10000000,1000000,21041998,1000000,1000797.3,3226843.031,1796.341568,0.00203125,0.001796341568,797.3,797.3,0.0007973,0.00156082,1948.844134,1560.82
HyperLogLog++,k=18,normal,50,10000000,10000000,1000000,42,1000000,1000679.56,2950113.109,1717.589331,0.00203125,0.001717589331,679.56,679.56,0.00067956,0.00149188,1831.096022,1491.88
HyperLogLog++,k=18,normal,50,10000000,10000000,1000000,137357,1000000,1000911.88,3272558.475,1809.021414,0.00203125,0.001809021414,911.88,911.88,0.00091188,0.00162696,2009.634902,1626.96
HyperLogLog++,k=18,normal,50,10000000,10000000,1000000,10032018,1000000,1000615.12,4050873.21,2012.678119,0.00203125,0.002012678119,615.12,615.12,0.00061512,0.00170944,2085.2406,1709.44
HyperLogLog++,k=18,normal,50,10000000,10000000,1000000,29042026,1000000,1001516.64,2862547.256,1691.906397,0.00203125,0.001691906397,1516.64,1516.64,0.00151664,0.00175532,2259.533846,1755.32
HyperLogLog++,k=18,normal,50,10000000,10000000,5000000,21041998,5000000,5001180.86,47000763.59,6855.710291,0.00203125,0.001371142058,1180.86,1180.86,0.000236172,0.001162116,6888.771927,5810.58
HyperLogLog++,k=18,normal,50,10000000,10000000,5000000,42,5000000,5000403.84,60814004.59,7798.333449,0.00203125,0.00155966669,403.84,403.84,8.0768e-05,0.00112448,7730.511706,5622.4
HyperLogLog++,k=18,normal,50,10000000,10000000,5000000,137357,5000000,5002490.34,83122356.68,9117.146301,0.00203125,0.00182342926,2490.34,2490.34,0.000498068,0.001548652,9362.782859,7743.26
HyperLogLog++,k=18,normal,50,10000000,10000000,5000000,10032018,5000000,4998473.02,68474232.47,8274.915859,0.00203125,0.001654983172,-1526.98,1526.98,-0.000305396,0.0013345,8332.851597,6672.5
HyperLogLog++,k=18,normal,50,10000000,10000000,5000000,29042026,5000000,5003293.92,55025582.85,7417.923082,0.00203125,0.001483584616,3293.92,3293.92,0.000658784,0.001266352,8048.290512,6331.76
HyperLogLog++,k=18,normal,50,10000000,10000000,10000000,21041998,10000000,10013256,0,0,0.00203125,0,13256,13256,0.0013256,0.0013256,13256,13256
HyperLogLog++,k=18,normal,50,10000000,10000000,10000000,42,10000000,10013256,0,0,0.00203125,0,13256,13256,0.0013256,0.0013256,13256,13256
HyperLogLog++,k=18,normal,50,10000000,10000000,10000000,137357,10000000,10013256,0,0,0.00203125,0,13256,13256,0.0013256,0.0013256,13256,13256
HyperLogLog++,k=18,normal,50,10000000,10000000,10000000,10032018,10000000,10013256,0,0,0.00203125,0,13256,13256,0.0013256,0.0013256,13256,13256
HyperLogLog++,k=18,normal,50,10000000,10000000,10000000,29042026,10000000,10013256,0,0,0.00203125,0,13256,13256,0.0013256,0.0013256,13256,13256
