algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=15,L=32",streaming,50,10000000,1,100000,21041998,1,1,0,0,0.005745242597,0,0,0,0,0,0,0
HyperLogLog,"k=15,L=32",streaming,50,10000000,102,100000,21041998,101.94,101.84,0.1779591837,0.4218520874,0.005745242597,0.004138239037,-0.1,0.1,-0.0009809691976,0.0009823335275,0.316227766,0.1
HyperLogLog,"k=15,L=32",streaming,50,10000000,203,100000,21041998,202.82,202.24,0.7983673469,0.8935140441,0.005745242597,0.004405453328,-0.58,0.58,-0.002859678533,0.002860556992,0.9486832981,0.58
HyperLogLog,"k=15,L=32",streaming,50,10000000,304,100000,21041998,303.58,303.08,2.19755102,1.482413917,0.005745242597,0.004883107967,-0.5,0.5,-0.00164701232,0.003491406086,1.378404875,1.06
HyperLogLog,"k=15,L=32",streaming,50,10000000,405,100000,21041998,404.32,403.54,4.294285714,2.072265841,0.005745242597,0.00512531124,-0.78,0.78,-0.001929165018,0.003511802913,1.974841766,1.42
HyperLogLog,"k=15,L=32",streaming,50,10000000,506,100000,21041998,504.82,503.46,8.171836735,2.858642464,0.005745242597,0.005662696533,-1.36,1.36,-0.002694029555,0.004042060806,2.727636339,2.04
HyperLogLog,"k=15,L=32",streaming,50,10000000,607,100000,21041998,605.08,604.14,10.57183673,3.251436103,0.005745242597,0.005373563997,-0.94,0.94,-0.001553513585,0.003735769683,2.894822965,2.26
HyperLogLog,"k=15,L=32",streaming,50,10000000,708,100000,21041998,705.44,704.38,12.56693878,3.544987839,0.005745242597,0.00502521524,-1.06,1.06,-0.001502608301,0.003714394021,3.438022688,2.62
HyperLogLog,"k=15,L=32",streaming,50,10000000,809,100000,21041998,805.7,804.52,14.9077551,3.861056216,0.005745242597,0.004792176016,-1.18,1.18,-0.001464564975,0.003599688906,3.706750599,2.9
HyperLogLog,"k=15,L=32",streaming,50,10000000,910,100000,21041998,905.86,904.72,19.47102041,4.412597921,0.005745242597,0.00487116985,-1.14,1.14,-0.001258472612,0.00373130188,4.259107888,3.38
