algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,100000,21041998,100000,99666.14,87950924.78,9378.215437,0.09192388155,0.09378215437,-333.86,333.86,-0.0033386,0.0677958,9289.960645,6779.58
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,100000,42,100000,97076.38,80339399.06,8963.224813,0.09192388155,0.08963224813,-2923.62,2923.62,-0.0292362,0.0818518,9342.385401,8185.18
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,100000,137357,100000,99719.08,81547875.01,9030.386205,0.09192388155,0.09030386205,-280.92,280.92,-0.0028092,0.0735808,8944.038996,7358.08
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,100000,10032018,100000,100475.14,105755989.6,10283.77312,0.09192388155,0.1028377312,475.14,475.14,0.0047514,0.0835054,10191.49782,8350.54
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,100000,29042026,100000,99520,64524708.08,8032.727313,0.09192388155,0.08032727313,-480,480,-0.0048,0.0662704,7966.468096,6627.04
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,1000000,21041998,1000000,975981.92,6086863624,78018.3544,0.09192388155,0.0780183544,-24018.08,24018.08,-0.02401808,0.06152408,80882.59713,61524.08
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,1000000,42,1000000,992832.28,7789468925,88257.96806,0.09192388155,0.08825796806,-7167.72,7167.72,-0.00716772,0.0692184,87664.44979,69218.4
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,1000000,137357,1000000,975734.98,8015599726,89529.88175,0.09192388155,0.08952988175,-24265.02,24265.02,-0.02426502,0.0678451,91891.66952,67845.1
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,1000000,10032018,1000000,964295.82,8157062785,90316.4591,0.09192388155,0.0903164591,-35704.18,35704.18,-0.03570418,0.07344946,96274.13982,73449.46
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,1000000,29042026,1000000,981226.4,7570414655,87008.12982,0.09192388155,0.08700812982,-18773.6,18773.6,-0.0187736,0.06860308,88155.853,68603.08
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,5000000,21041998,5000000,4763126.72,1.1909692e+11,345104.2161,0.09192388155,0.06902084322,-236873.28,236873.28,-0.047374656,0.07345468,415720.9789,367273.4
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,5000000,42,5000000,4675697.04,7.440328097e+10,272769.6482,0.09192388155,0.05455392964,-324302.96,324302.96,-0.064860592,0.070183464,422004.2953,350917.32
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,5000000,137357,5000000,4653540.46,1.006618312e+11,317272.4873,0.09192388155,0.06345449746,-346459.54,346459.54,-0.069291908,0.078806604,467635.336,394033.02
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,5000000,10032018,5000000,4692022.14,8.793188841e+10,296533.1152,0.09192388155,0.05930662304,-307977.86,307977.86,-0.061595572,0.068547036,425468.6979,342735.18
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,5000000,29042026,5000000,4675923.54,1.292630436e+11,359531.7003,0.09192388155,0.07190634007,-324076.46,324076.46,-0.064815292,0.082866988,481355.7256,414334.94
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,10000000,21041998,10000000,9290258,0,0,0.09192388155,0,-709742,709742,-0.0709742,0.0709742,709742,709742
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,10000000,42,10000000,9290258,0,0,0.09192388155,0,-709742,709742,-0.0709742,0.0709742,709742,709742
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,10000000,137357,10000000,9290258,0,0,0.09192388155,0,-709742,709742,-0.0709742,0.0709742,709742,709742
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,10000000,10032018,10000000,9290258,0,0,0.09192388155,0,-709742,709742,-0.0709742,0.0709742,709742,709742
HyperLogLog,"k=7,L=32",normal,50,10000000,10000000,10000000,29042026,10000000,9290258,0,0,0.09192388155,0,-709742,709742,-0.0709742,0.0709742,709742,709742
