algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=10,L=32",normal,50,10000000,10000000,100000,21041998,100000,99139.4,13330859.63,3651.144976,0.040625,0.03651144976,-860.6,860.6,-0.008606,0.0299244,3715.491192,2992.44
LogLog,"k=10,L=32",normal,50,10000000,10000000,100000,42,100000,99246.54,20992485.19,4581.755689,0.040625,0.04581755689,-753.46,753.46,-0.0075346,0.0370794,4597.862271,3707.94
LogLog,"k=10,L=32",normal,50,10000000,10000000,100000,137357,100000,100482.22,15417098.66,3926.461341,0.040625,0.03926461341,482.22,482.22,0.0048222,0.0324954,3916.796244,3249.54
LogLog,"k=10,L=32",normal,50,10000000,10000000,100000,10032018,100000,100626.84,18115606.26,4256.24321,0.040625,0.0425624321,626.84,626.84,0.0062684,0.0353068,4259.838321,3530.68
LogLog,"k=10,L=32",normal,50,10000000,10000000,100000,29042026,100000,100403.5,21999570.38,4690.369962,0.040625,0.04690369962,403.5,403.5,0.004035,0.038241,4660.728615,3824.1
LogLog,"k=10,L=32",normal,50,10000000,10000000,1000000,21041998,1000000,999234.08,1806414533,42501.93564,0.040625,0.04250193564,-765.92,765.92,-0.00076592,0.0336612,42081.74041,33661.2
LogLog,"k=10,L=32",normal,50,10000000,10000000,1000000,42,1000000,1004008.64,1323694321,36382.61015,0.040625,0.03638261015,4008.64,4008.64,0.00400864,0.02998808,36239.33815,29988.08
LogLog,"k=10,L=32",normal,50,10000000,10000000,1000000,137357,1000000,993515.32,1518769174,38971.38917,0.040625,0.03897138917,-6484.68,6484.68,-0.00648468,0.03091016,39120.90062,30910.16
LogLog,"k=10,L=32",normal,50,10000000,10000000,1000000,10032018,1000000,985885.04,1124495383,33533.49644,0.040625,0.03353349644,-14114.96,14114.96,-0.01411496,0.02878208,36072.6707,28782.08
LogLog,"k=10,L=32",normal,50,10000000,10000000,1000000,29042026,1000000,993101.86,1191566353,34519.07231,0.040625,0.03451907231,-6898.14,6898.14,-0.00689814,0.02759222,34861.43086,27592.22
LogLog,"k=10,L=32",normal,50,10000000,10000000,5000000,21041998,5000000,4963201.9,2.629393038e+10,162154.0329,0.040625,0.03243080658,-36798.1,36798.1,-0.00735962,0.025718924,164688.0443,128594.62
LogLog,"k=10,L=32",normal,50,10000000,10000000,5000000,42,5000000,4938505.34,3.17376955e+10,178150.7662,0.040625,0.03563015324,-61494.66,61494.66,-0.012298932,0.029080164,186774.0207,145400.82
LogLog,"k=10,L=32",normal,50,10000000,10000000,5000000,137357,5000000,4934121.64,1.432312854e+10,119679.2736,0.040625,0.02393585473,-65878.36,65878.36,-0.013175672,0.02151356,135560.4082,107567.8
LogLog,"k=10,L=32",normal,50,10000000,10000000,5000000,10032018,5000000,4940601.74,2.507513899e+10,158351.3151,0.040625,0.03167026302,-59398.26,59398.26,-0.011879652,0.027495668,167635.8837,137478.34
LogLog,"k=10,L=32",normal,50,10000000,10000000,5000000,29042026,5000000,4946404.84,2.009670156e+10,141762.8356,0.040625,0.02835256712,-53595.16,53595.16,-0.010719032,0.024112752,150223.862,120563.76
LogLog,"k=10,L=32",normal,50,10000000,10000000,10000000,21041998,10000000,9930391,0,0,0.040625,0,-69609,69609,-0.0069609,0.0069609,69609,69609
LogLog,"k=10,L=32",normal,50,10000000,10000000,10000000,42,10000000,9930391,0,0,0.040625,0,-69609,69609,-0.0069609,0.0069609,69609,69609
LogLog,"k=10,L=32",normal,50,10000000,10000000,10000000,137357,10000000,9930391,0,0,0.040625,0,-69609,69609,-0.0069609,0.0069609,69609,69609
LogLog,"k=10,L=32",normal,50,10000000,10000000,10000000,10032018,10000000,9930391,0,0,0.040625,0,-69609,69609,-0.0069609,0.0069609,69609,69609
LogLog,"k=10,L=32",normal,50,10000000,10000000,10000000,29042026,10000000,9930391,0,0,0.040625,0,-69609,69609,-0.0069609,0.0069609,69609,69609
