algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=19,normal,50,10000000,10000000,100000,21041998,100000,113955.06,4704217772,68587.30037,nan,0.6858730037,13955.06,13955.06,0.1395506,0.5238302,69317.22092,52383.02
Probabilistic Counting,L=19,normal,50,10000000,10000000,100000,42,100000,113955.08,6681941015,81743.14048,nan,0.8174314048,13955.08,13955.08,0.1395508,0.5760508,82116.05478,57605.08
Probabilistic Counting,L=19,normal,50,10000000,10000000,100000,137357,100000,128146.54,6575225472,81087.76401,nan,0.8108776401,28146.54,28146.54,0.2814654,0.6285962,85064.3796,62859.62
Probabilistic Counting,L=19,normal,50,10000000,10000000,100000,10032018,100000,114166.86,6323613797,79521.15314,nan,0.7952115314,14166.86,14166.86,0.1416686,0.6172726,79986.50788,61727.26
Probabilistic Counting,L=19,normal,50,10000000,10000000,100000,29042026,100000,116496.86,6413848222,80086.50462,nan,0.8008650462,16496.86,16496.86,0.1649686,0.550633,80979.73603,55063.3
Probabilistic Counting,L=19,normal,50,10000000,10000000,1000000,21041998,1000000,630356.72,1.762665986e+10,132765.4317,nan,0.1327654317,-369643.28,369643.28,-0.36964328,0.36964328,392314.0083,369643.28
Probabilistic Counting,L=19,normal,50,10000000,10000000,1000000,42,1000000,647301.82,1.135653817e+10,106567.0595,nan,0.1065670595,-352698.18,352698.18,-0.35269818,0.35269818,368137.7644,352698.18
Probabilistic Counting,L=19,normal,50,10000000,10000000,1000000,137357,1000000,650690.84,1.214176836e+10,110189.6926,nan,0.1101896926,-349309.16,349309.16,-0.34930916,0.34930916,365945.1083,349309.16
Probabilistic Counting,L=19,normal,50,10000000,10000000,1000000,10032018,1000000,626967.7,1.670079143e+10,129231.5419,nan,0.1292315419,-373032.3,373032.3,-0.3730323,0.3730323,394360.0797,373032.3
Probabilistic Counting,L=19,normal,50,10000000,10000000,1000000,29042026,1000000,633745.74,1.50131325e+10,122528.0886,nan,0.1225280886,-366254.26,366254.26,-0.36625426,0.36625426,385817.3827,366254.26
Probabilistic Counting,L=19,normal,50,10000000,10000000,5000000,21041998,5000000,677803,0,0,nan,0,-4322197,4322197,-0.8644394,0.8644394,4322197,4322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,5000000,42,5000000,677803,0,0,nan,0,-4322197,4322197,-0.8644394,0.8644394,4322197,4322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,5000000,137357,5000000,677803,0,0,nan,0,-4322197,4322197,-0.8644394,0.8644394,4322197,4322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,5000000,10032018,5000000,677803,0,0,nan,0,-4322197,4322197,-0.8644394,0.8644394,4322197,4322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,5000000,29042026,5000000,677803,0,0,nan,0,-4322197,4322197,-0.8644394,0.8644394,4322197,4322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,10000000,21041998,10000000,677803,0,0,nan,0,-9322197,9322197,-0.9322197,0.9322197,9322197,9322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,10000000,42,10000000,677803,0,0,nan,0,-9322197,9322197,-0.9322197,0.9322197,9322197,9322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,10000000,137357,10000000,677803,0,0,nan,0,-9322197,9322197,-0.9322197,0.9322197,9322197,9322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,10000000,10032018,10000000,677803,0,0,nan,0,-9322197,9322197,-0.9322197,0.9322197,9322197,9322197
Probabilistic Counting,L=19,normal,50,10000000,10000000,10000000,29042026,10000000,677803,0,0,nan,0,-9322197,9322197,-0.9322197,0.9322197,9322197,9322197
