algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog,"k=13,L=32",merge,25,10000000,0,21041998,202635,202635,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,1,21041998,200169,200169,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,2,21041998,197244,197244,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,3,21041998,200769,200769,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,4,21041998,196631,196631,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,5,21041998,192630,192630,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,6,21041998,198595,198595,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,7,21041998,196461,196461,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,8,21041998,199749,199749,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,9,21041998,194878,194878,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,10,21041998,194179,194179,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,11,21041998,196936,196936,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,12,21041998,197718,197718,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,13,21041998,201569,201569,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,14,21041998,200304,200304,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,15,21041998,201315,201315,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,16,21041998,202319,202319,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,17,21041998,201644,201644,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,18,21041998,197388,197388,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,19,21041998,198999,198999,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,20,21041998,194608,194608,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,21,21041998,197499,197499,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,22,21041998,200415,200415,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,23,21041998,198384,198384,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,24,21041998,197428,197428,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,0,42,198785,198785,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,1,42,198925,198925,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,2,42,197406,197406,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,3,42,199473,199473,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,4,42,197172,197172,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,5,42,199340,199340,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,6,42,200696,200696,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,7,42,197627,197627,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,8,42,198528,198528,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,9,42,197569,197569,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,10,42,193887,193887,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,11,42,198955,198955,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,12,42,199028,199028,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,13,42,201795,201795,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,14,42,197558,197558,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,15,42,199081,199081,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,16,42,198915,198915,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,17,42,196168,196168,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,18,42,201189,201189,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,19,42,202097,202097,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,20,42,198980,198980,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,21,42,203040,203040,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,22,42,201816,201816,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,23,42,198549,198549,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,24,42,200584,200584,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,0,137357,199409,199409,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,1,137357,200150,200150,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,2,137357,199127,199127,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,3,137357,199208,199208,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,4,137357,199243,199243,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,5,137357,197976,197976,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,6,137357,200619,200619,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,7,137357,200673,200673,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,8,137357,199814,199814,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,9,137357,198748,198748,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,10,137357,200300,200300,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,11,137357,196118,196118,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,12,137357,197000,197000,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,13,137357,197441,197441,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,14,137357,197341,197341,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,15,137357,197917,197917,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,16,137357,199311,199311,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,17,137357,199335,199335,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,18,137357,197626,197626,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,19,137357,200456,200456,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,20,137357,199188,199188,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,21,137357,204719,204719,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,22,137357,198268,198268,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,23,137357,201312,201312,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,24,137357,198584,198584,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,0,10032018,199957,199957,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,1,10032018,199147,199147,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,2,10032018,197100,197100,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,3,10032018,204871,204871,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,4,10032018,202757,202757,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,5,10032018,201593,201593,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,6,10032018,197941,197941,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,7,10032018,201407,201407,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,8,10032018,198996,198996,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,9,10032018,202709,202709,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,10,10032018,198352,198352,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,11,10032018,199842,199842,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,12,10032018,200823,200823,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,13,10032018,202086,202086,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,14,10032018,198976,198976,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,15,10032018,197716,197716,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,16,10032018,198645,198645,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,17,10032018,202867,202867,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,18,10032018,201654,201654,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,19,10032018,199735,199735,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,20,10032018,200563,200563,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,21,10032018,202438,202438,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,22,10032018,202418,202418,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,23,10032018,200335,200335,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,24,10032018,200613,200613,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,0,29042026,199325,199325,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,1,29042026,199978,199978,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,2,29042026,198691,198691,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,3,29042026,198056,198056,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,4,29042026,199580,199580,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,5,29042026,199655,199655,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,6,29042026,197896,197896,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,7,29042026,202339,202339,0,0
HyperLogLog,"k=13,L=32",merge,25,10000000,8,29042026,196328,196328,0,0
