algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog++,k=12,normal,50,10000000,10000000,100000,21041998,100000,99795.64,3050209.092,1746.484782,0.01625,0.01746484782,-204.36,204.36,-0.0020436,0.0138772,1740.967524,1387.72
HyperLogLog++,k=12,normal,50,10000000,10000000,100000,42,100000,99556.04,3442636.896,1855.434423,0.01625,0.01855434423,-443.96,443.96,-0.0044396,0.015776,1889.678449,1577.6
HyperLogLog++,k=12,normal,50,10000000,10000000,100000,137357,100000,100264.04,1411127.713,1187.908966,0.01625,0.01187908966,264.04,264.04,0.0026404,0.0095132,1205.247809,951.32
HyperLogLog++,k=12,normal,50,10000000,10000000,100000,10032018,100000,100388.78,2715785.93,1647.964177,0.01625,0.01647964177,388.78,388.78,0.0038878,0.0138734,1677.08679,1387.34
HyperLogLog++,k=12,normal,50,10000000,10000000,100000,29042026,100000,99785.32,2551145.977,1597.230721,0.01625,0.01597230721,-214.68,214.68,-0.0021468,0.0118564,1595.684981,1185.64
HyperLogLog++,k=12,normal,50,10000000,10000000,1000000,21041998,1000000,997959.46,294110765.3,17149.65788,0.01625,0.01714965788,-2040.54,2040.54,-0.00204054,0.01360894,17099.48401,13608.94
HyperLogLog++,k=12,normal,50,10000000,10000000,1000000,42,1000000,997958.42,251170259.2,15848.35194,0.01625,0.01584835194,-2041.58,2041.58,-0.00204158,0.01292074,15821.34327,12920.74
HyperLogLog++,k=12,normal,50,10000000,10000000,1000000,137357,1000000,993750.74,173772896.4,13182.29481,0.01625,0.01318229481,-6249.26,6249.26,-0.00624926,0.01139386,14468.95604,11393.86
HyperLogLog++,k=12,normal,50,10000000,10000000,1000000,10032018,1000000,995258.72,241646856.7,15544.99459,0.01625,0.01554499459,-4741.28,4741.28,-0.00474128,0.01286988,16102.59779,12869.88
HyperLogLog++,k=12,normal,50,10000000,10000000,1000000,29042026,1000000,999512.66,280517152.8,16748.6463,0.01625,0.0167486463,-487.34,487.34,-0.00048734,0.0129393,16587.47449,12939.3
HyperLogLog++,k=12,normal,50,10000000,10000000,5000000,21041998,5000000,4932423.26,5095320416,71381.51313,0.01625,0.01427630263,-67576.74,67576.74,-0.013515348,0.015479356,97775.40487,77396.78
HyperLogLog++,k=12,normal,50,10000000,10000000,5000000,42,5000000,4927670.44,5766690417,75938.72804,0.01625,0.01518774561,-72329.56,72329.56,-0.014465912,0.017903624,104321.2436,89518.12
HyperLogLog++,k=12,normal,50,10000000,10000000,5000000,137357,5000000,4945776.78,4368728833,66096.36021,0.01625,0.01321927204,-54223.22,54223.22,-0.010844644,0.01354614,84979.47895,67730.7
HyperLogLog++,k=12,normal,50,10000000,10000000,5000000,10032018,5000000,4936378.96,4277430153,65402.06536,0.01625,0.01308041307,-63621.04,63621.04,-0.012724208,0.015197768,90771.79232,75988.84
HyperLogLog++,k=12,normal,50,10000000,10000000,5000000,29042026,5000000,4942082.82,4101107085,64039.88667,0.01625,0.01280797733,-57917.18,57917.18,-0.011583436,0.013841876,85868.99721,69209.38
HyperLogLog++,k=12,normal,50,10000000,10000000,10000000,21041998,10000000,9791674,0,0,0.01625,0,-208326,208326,-0.0208326,0.0208326,208326,208326
HyperLogLog++,k=12,normal,50,10000000,10000000,10000000,42,10000000,9791674,0,0,0.01625,0,-208326,208326,-0.0208326,0.0208326,208326,208326
HyperLogLog++,k=12,normal,50,10000000,10000000,10000000,137357,10000000,9791674,0,0,0.01625,0,-208326,208326,-0.0208326,0.0208326,208326,208326
HyperLogLog++,k=12,normal,50,10000000,10000000,10000000,10032018,10000000,9791674,0,0,0.01625,0,-208326,208326,-0.0208326,0.0208326,208326,208326
HyperLogLog++,k=12,normal,50,10000000,10000000,10000000,29042026,10000000,9791674,0,0,0.01625,0,-208326,208326,-0.0208326,0.0208326,208326,208326
