algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,100000,21041998,100000,99795.64,3050209.092,1746.484782,0.01625,0.01746484782,-204.36,204.36,-0.0020436,0.0138772,1740.967524,1387.72
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,100000,42,100000,99556.04,3442636.896,1855.434423,0.01625,0.01855434423,-443.96,443.96,-0.0044396,0.015776,1889.678449,1577.6
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,100000,137357,100000,100264.04,1411127.713,1187.908966,0.01625,0.01187908966,264.04,264.04,0.0026404,0.0095132,1205.247809,951.32
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,100000,10032018,100000,100388.78,2715785.93,1647.964177,0.01625,0.01647964177,388.78,388.78,0.0038878,0.0138734,1677.08679,1387.34
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,100000,29042026,100000,99785.32,2551145.977,1597.230721,0.01625,0.01597230721,-214.68,214.68,-0.0021468,0.0118564,1595.684981,1185.64
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,1000000,21041998,1000000,997959.46,294110765.3,17149.65788,0.01625,0.01714965788,-2040.54,2040.54,-0.00204054,0.01360894,17099.48401,13608.94
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,1000000,42,1000000,997958.4,251170294.7,15848.35306,0.01625,0.01584835306,-2041.6,2041.6,-0.0020416,0.01292076,15821.34695,12920.76
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,1000000,137357,1000000,993750.7,173771981.6,13182.26011,0.01625,0.01318226011,-6249.3,6249.3,-0.0062493,0.01139386,14468.94234,11393.86
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,1000000,10032018,1000000,995258.68,241646627.3,15544.98721,0.01625,0.01554498721,-4741.32,4741.32,-0.00474132,0.01286992,16102.60259,12869.92
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,1000000,29042026,1000000,999512.64,280517259.8,16748.64949,0.01625,0.01674864949,-487.36,487.36,-0.00048736,0.01293932,16587.47824,12939.32
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,5000000,21041998,5000000,4932420.6,5095274599,71381.1922,0.01625,0.01427623844,-67579.4,67579.4,-0.01351588,0.015479696,97777.01372,77398.48
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,5000000,42,5000000,4927668.04,5766667992,75938.58039,0.01625,0.01518771608,-72331.96,72331.96,-0.014466392,0.017903896,104322.8022,89519.48
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,5000000,137357,5000000,4945774.1,4368699631,66096.1393,0.01625,0.01321922786,-54225.9,54225.9,-0.01084518,0.013546436,84981.02064,67732.18
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,5000000,10032018,5000000,4936376.48,4277438386,65402.1283,0.01625,0.01308042566,-63623.52,63623.52,-0.012724704,0.015198128,90773.57498,75990.64
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,5000000,29042026,5000000,4942080.32,4101115096,64039.94922,0.01625,0.01280798984,-57919.68,57919.68,-0.011583936,0.013842232,85870.72915,69211.16
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,10000000,21041998,10000000,9791655,0,0,0.01625,0,-208345,208345,-0.0208345,0.0208345,208345,208345
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,10000000,42,10000000,9791655,0,0,0.01625,0,-208345,208345,-0.0208345,0.0208345,208345,208345
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,10000000,137357,10000000,9791655,0,0,0.01625,0,-208345,208345,-0.0208345,0.0208345,208345,208345
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,10000000,10032018,10000000,9791655,0,0,0.01625,0,-208345,208345,-0.0208345,0.0208345,208345,208345
HyperLogLog,"k=12,L=32",normal,50,10000000,10000000,10000000,29042026,10000000,9791655,0,0,0.01625,0,-208345,208345,-0.0208345,0.0208345,208345,208345
