algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=16,L=32",normal,50,10000000,10000000,100000,21041998,100000,103406.2,135914,368.6651597,0.005078125,0.003686651597,3406.2,3406.2,0.034062,0.034062,3425.696157,3406.2
LogLog,"k=16,L=32",normal,50,10000000,10000000,100000,42,100000,103319.3,195561.602,442.2234752,0.005078125,0.004422234752,3319.3,3319.3,0.033193,0.033193,3348.044632,3319.3
LogLog,"k=16,L=32",normal,50,10000000,10000000,100000,137357,100000,103450.14,146964.8984,383.3600114,0.005078125,0.003833600114,3450.14,3450.14,0.0345014,0.0345014,3470.949671,3450.14
LogLog,"k=16,L=32",normal,50,10000000,10000000,100000,10032018,100000,103487.08,138654.2384,372.3630465,0.005078125,0.003723630465,3487.08,3487.08,0.0348708,0.0348708,3506.509387,3487.08
LogLog,"k=16,L=32",normal,50,10000000,10000000,100000,29042026,100000,103384.96,175811.8759,419.2992677,0.005078125,0.004192992677,3384.96,3384.96,0.0338496,0.0338496,3410.315211,3384.96
LogLog,"k=16,L=32",normal,50,10000000,10000000,1000000,21041998,1000000,1000035.14,25485957.22,5048.361836,0.005078125,0.005048361836,35.14,35.14,3.514e-05,0.00404378,4997.746782,4043.78
LogLog,"k=16,L=32",normal,50,10000000,10000000,1000000,42,1000000,998711.78,26180924.3,5116.729844,0.005078125,0.005116729844,-1288.22,1288.22,-0.00128822,0.00402674,5226.549204,4026.74
LogLog,"k=16,L=32",normal,50,10000000,10000000,1000000,137357,1000000,999947.54,21880536.95,4677.663621,0.005078125,0.004677663621,-52.46,52.46,-5.246e-05,0.00372022,4630.947879,3720.22
LogLog,"k=16,L=32",normal,50,10000000,10000000,1000000,10032018,1000000,999169.1,21153854.5,4599.331962,0.005078125,0.004599331962,-830.9,830.9,-0.0008309,0.0039373,4628.301224,3937.3
LogLog,"k=16,L=32",normal,50,10000000,10000000,1000000,29042026,1000000,1000328.88,19993640.48,4471.424882,0.005078125,0.004471424882,328.88,328.88,0.00032888,0.00366144,4438.685585,3661.44
LogLog,"k=16,L=32",normal,50,10000000,10000000,5000000,21041998,5000000,4996268.7,316620445.5,17793.83167,0.005078125,0.003558766334,-3731.3,3731.3,-0.00074626,0.0028567,18005.85006,14283.5
LogLog,"k=16,L=32",normal,50,10000000,10000000,5000000,42,5000000,4990728.14,301384939,17360.44179,0.005078125,0.003472088357,-9271.86,9271.86,-0.001854372,0.002961188,19527.53513,14805.94
LogLog,"k=16,L=32",normal,50,10000000,10000000,5000000,137357,5000000,4993229.52,332262115.3,18228.05846,0.005078125,0.003645611692,-6770.48,6770.48,-0.001354096,0.002959832,19273.20089,14799.16
LogLog,"k=16,L=32",normal,50,10000000,10000000,5000000,10032018,5000000,4991552.98,422648525.8,20558.4174,0.005078125,0.004111683479,-8447.02,8447.02,-0.001689404,0.003607988,22035.14697,18039.94
LogLog,"k=16,L=32",normal,50,10000000,10000000,5000000,29042026,5000000,4996564.04,320474682.8,17901.80669,0.005078125,0.003580361338,-3435.96,3435.96,-0.000687192,0.002882216,18051.89769,14411.08
LogLog,"k=16,L=32",normal,50,10000000,10000000,10000000,21041998,10000000,9967746,0,0,0.005078125,0,-32254,32254,-0.0032254,0.0032254,32254,32254
LogLog,"k=16,L=32",normal,50,10000000,10000000,10000000,42,10000000,9967746,0,0,0.005078125,0,-32254,32254,-0.0032254,0.0032254,32254,32254
LogLog,"k=16,L=32",normal,50,10000000,10000000,10000000,137357,10000000,9967746,0,0,0.005078125,0,-32254,32254,-0.0032254,0.0032254,32254,32254
LogLog,"k=16,L=32",normal,50,10000000,10000000,10000000,10032018,10000000,9967746,0,0,0.005078125,0,-32254,32254,-0.0032254,0.0032254,32254,32254
LogLog,"k=16,L=32",normal,50,10000000,10000000,10000000,29042026,10000000,9967746,0,0,0.005078125,0,-32254,32254,-0.0032254,0.0032254,32254,32254
