algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=18,normal,50,10000000,10000000,100000,21041998,100000,113955.06,4704217772,68587.30037,nan,0.6858730037,13955.06,13955.06,0.1395506,0.5238302,69317.22092,52383.02
Probabilistic Counting,L=18,normal,50,10000000,10000000,100000,42,100000,113955.08,6681941015,81743.14048,nan,0.8174314048,13955.08,13955.08,0.1395508,0.5760508,82116.05478,57605.08
Probabilistic Counting,L=18,normal,50,10000000,10000000,100000,137357,100000,128146.54,6575225472,81087.76401,nan,0.8108776401,28146.54,28146.54,0.2814654,0.6285962,85064.3796,62859.62
Probabilistic Counting,L=18,normal,50,10000000,10000000,100000,10032018,100000,114166.86,6323613797,79521.15314,nan,0.7952115314,14166.86,14166.86,0.1416686,0.6172726,79986.50788,61727.26
Probabilistic Counting,L=18,normal,50,10000000,10000000,100000,29042026,100000,116496.86,6413848222,80086.50462,nan,0.8008650462,16496.86,16496.86,0.1649686,0.550633,80979.73603,55063.3
Probabilistic Counting,L=18,normal,50,10000000,10000000,1000000,21041998,1000000,332122.96,1125105949,33542.59902,nan,0.03354259902,-667877.04,667877.04,-0.66787704,0.66787704,668701.9847,667877.04
Probabilistic Counting,L=18,normal,50,10000000,10000000,1000000,42,1000000,335511.98,574272828,23963.99024,nan,0.02396399024,-664488.02,664488.02,-0.66448802,0.66448802,664911.3596,664488.02
Probabilistic Counting,L=18,normal,50,10000000,10000000,1000000,137357,1000000,332122.96,1125105949,33542.59902,nan,0.03354259902,-667877.04,667877.04,-0.66787704,0.66787704,668701.9847,667877.04
Probabilistic Counting,L=18,normal,50,10000000,10000000,1000000,10032018,1000000,335511.98,574272828,23963.99024,nan,0.02396399024,-664488.02,664488.02,-0.66448802,0.66448802,664911.3596,664488.02
Probabilistic Counting,L=18,normal,50,10000000,10000000,1000000,29042026,1000000,335511.98,574272828,23963.99024,nan,0.02396399024,-664488.02,664488.02,-0.66448802,0.66448802,664911.3596,664488.02
Probabilistic Counting,L=18,normal,50,10000000,10000000,5000000,21041998,5000000,338901,0,0,nan,0,-4661099,4661099,-0.9322198,0.9322198,4661099,4661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,5000000,42,5000000,338901,0,0,nan,0,-4661099,4661099,-0.9322198,0.9322198,4661099,4661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,5000000,137357,5000000,338901,0,0,nan,0,-4661099,4661099,-0.9322198,0.9322198,4661099,4661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,5000000,10032018,5000000,338901,0,0,nan,0,-4661099,4661099,-0.9322198,0.9322198,4661099,4661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,5000000,29042026,5000000,338901,0,0,nan,0,-4661099,4661099,-0.9322198,0.9322198,4661099,4661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,10000000,21041998,10000000,338901,0,0,nan,0,-9661099,9661099,-0.9661099,0.9661099,9661099,9661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,10000000,42,10000000,338901,0,0,nan,0,-9661099,9661099,-0.9661099,0.9661099,9661099,9661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,10000000,137357,10000000,338901,0,0,nan,0,-9661099,9661099,-0.9661099,0.9661099,9661099,9661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,10000000,10032018,10000000,338901,0,0,nan,0,-9661099,9661099,-0.9661099,0.9661099,9661099,9661099
Probabilistic Counting,L=18,normal,50,10000000,10000000,10000000,29042026,10000000,338901,0,0,nan,0,-9661099,9661099,-0.9661099,0.9661099,9661099,9661099
