algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=14,L=32",streaming,50,10000000,1,100000,21041998,1,1,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog,"k=14,L=32",streaming,50,10000000,102,100000,21041998,101.94,101.64,0.3983673469,0.6311634867,0.008125,0.006191519391,-0.3,0.3,-0.002942907593,0.002943117841,0.6480740698,0.3
HyperLogLog,"k=14,L=32",streaming,50,10000000,203,100000,21041998,202.82,202.42,1.799591837,1.341488664,0.008125,0.006614183337,-0.4,0.4,-0.001972192092,0.004929522509,1.341640786,1
HyperLogLog,"k=14,L=32",streaming,50,10000000,304,100000,21041998,303.58,302.48,3.315918367,1.820966328,0.008125,0.005998307951,-1.1,1.1,-0.003623427103,0.005203236601,2.111871208,1.58
HyperLogLog,"k=14,L=32",streaming,50,10000000,405,100000,21041998,404.32,403.3,9.071428571,3.011881235,0.008125,0.007449251174,-1.02,1.02,-0.002522754254,0.005687582121,3.056141358,2.3
HyperLogLog,"k=14,L=32",streaming,50,10000000,506,100000,21041998,504.82,503.7,12.05102041,3.471457966,0.008125,0.006876625264,-1.12,1.12,-0.002218612575,0.004674549199,3.481379037,2.36
HyperLogLog,"k=14,L=32",streaming,50,10000000,607,100000,21041998,605.08,604.2,20.48979592,4.526565577,0.008125,0.007480937358,-0.88,0.88,-0.001454353143,0.005619418009,4.345112196,3.4
HyperLogLog,"k=14,L=32",streaming,50,10000000,708,100000,21041998,705.44,704.78,25.93020408,5.092170861,0.008125,0.007218432271,-0.66,0.66,-0.0009355863007,0.005868056862,5.025932749,4.14
HyperLogLog,"k=14,L=32",streaming,50,10000000,809,100000,21041998,805.7,805.16,29.72897959,5.452428779,0.008125,0.006767318827,-0.54,0.54,-0.0006702246494,0.004940633177,5.136146415,3.98
HyperLogLog,"k=14,L=32",streaming,50,10000000,910,100000,21041998,905.86,904.66,35.94326531,5.995270245,0.008125,0.006618318774,-1.2,1.2,-0.001324708012,0.004946359146,5.909314681,4.48
HyperLogLog,"k=14,L=32",streaming,50,10000000,1011,100000,21041998,1005.92,1005.6,43.95918367,6.63017222,0.008125,0.006591152597,-0.32,0.32,-0.0003181167488,0.004892365869,6.406246951,4.92
HyperLogLog,"k=14,L=32",streaming,50,10000000,1112,100000,21041998,1105.9,1105.42,48.86081633,6.990051239,0.008125,0.006320690152,-0.48,0.48,-0.0004340356271,0.004774886684,6.794115101,5.28
