algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=6,streaming,50,10000000,1,100000,21041998,1,1.56,0.2514285714,0.5014265364,nan,0.5014265364,0.56,0.56,0.56,0.56,0.7483314774,0.56
Probabilistic Counting,L=6,streaming,50,10000000,102,100000,21041998,101.94,73.78,328.0934694,18.11335058,nan,0.1776863899,-28.16,28.16,-0.276240926,0.2762686857,33.37544007,28.16
Probabilistic Counting,L=6,streaming,50,10000000,203,100000,21041998,202.82,82,0,0,nan,0,-120.82,120.82,-0.5957006212,0.595699166,120.8206108,120.82
Probabilistic Counting,L=6,streaming,50,10000000,304,100000,21041998,303.58,82,0,0,nan,0,-221.58,221.58,-0.7298899796,0.7298890294,221.5807302,221.58
Probabilistic Counting,L=6,streaming,50,10000000,405,100000,21041998,404.32,82,0,0,nan,0,-322.32,322.32,-0.7971903443,0.7971894769,322.3210822,322.32
Probabilistic Counting,L=6,streaming,50,10000000,506,100000,21041998,504.82,82,0,0,nan,0,-422.82,422.82,-0.8375658651,0.8375650047,422.8215936,422.82
Probabilistic Counting,L=6,streaming,50,10000000,607,100000,21041998,605.08,82,0,0,nan,0,-523.08,523.08,-0.8644807298,0.8644801691,523.0814468,523.08
Probabilistic Counting,L=6,streaming,50,10000000,708,100000,21041998,705.44,82,0,0,nan,0,-623.44,623.44,-0.8837604899,0.8837600864,623.4413846,623.44
Probabilistic Counting,L=6,streaming,50,10000000,809,100000,21041998,805.7,82,0,0,nan,0,-723.7,723.7,-0.8982251458,0.8982247677,723.7016651,723.7
Probabilistic Counting,L=6,streaming,50,10000000,910,100000,21041998,905.86,82,0,0,nan,0,-823.86,823.86,-0.9094782858,0.9094780165,823.8614811,823.86
Probabilistic Counting,L=6,streaming,50,10000000,1011,100000,21041998,1005.92,82,0,0,nan,0,-923.92,923.92,-0.9184825831,0.918482387,923.921317,923.92
Probabilistic Counting,L=6,streaming,50,10000000,1112,100000,21041998,1105.9,82,0,0,nan,0,-1023.9,1023.9,-0.925852247,0.9258520451,1023.901626,1023.9
Probabilistic Counting,L=6,streaming,50,10000000,1213,100000,21041998,1205.92,82,0,0,nan,0,-1123.92,1123.92,-0.9320021229,0.9320019078,1123.922044,1123.92
Probabilistic Counting,L=6,streaming,50,10000000,1314,100000,21041998,1305.76,82,0,0,nan,0,-1223.76,1223.76,-0.9372013234,0.9372010999,1223.762477,1223.76
Probabilistic Counting,L=6,streaming,50,10000000,1415,100000,21041998,1405.64,82,0,0,nan,0,-1323.64,1323.64,-0.9416635838,0.9416633985,1323.642369,1323.64
Probabilistic Counting,L=6,streaming,50,10000000,1516,100000,21041998,1504.76,82,0,0,nan,0,-1422.76,1422.76,-0.9455062601,0.945506066,1422.762833,1422.76
Probabilistic Counting,L=6,streaming,50,10000000,1617,100000,21041998,1604.2,82,0,0,nan,0,-1522.2,1522.2,-0.948884179,0.9488840033,1522.202904,1522.2
Probabilistic Counting,L=6,streaming,50,10000000,1718,100000,21041998,1703.48,82,0,0,nan,0,-1621.48,1621.48,-0.9518632447,0.9518630712,1621.483222,1621.48
Probabilistic Counting,L=6,streaming,50,10000000,1819,100000,21041998,1802.54,82,0,0,nan,0,-1720.54,1720.54,-0.9545086378,0.9545084432,1720.544036,1720.54
Probabilistic Counting,L=6,streaming,50,10000000,1920,100000,21041998,1901.64,82,0,0,nan,0,-1819.64,1819.64,-0.9568793252,0.9568791407,1819.644251,1819.64
Probabilistic Counting,L=6,streaming,50,10000000,2021,100000,21041998,2000.62,82,0,0,nan,0,-1918.62,1918.62,-0.9590127061,0.9590125405,1918.62421,1918.62
Probabilistic Counting,L=6,streaming,50,10000000,2122,100000,21041998,2099.72,82,0,0,nan,0,-2017.72,2017.72,-0.9609471739,0.9609470107,2017.72456,2017.72
Probabilistic Counting,L=6,streaming,50,10000000,2223,100000,21041998,2198.86,82,0,0,nan,0,-2116.86,2116.86,-0.9627079487,0.9627077802,2116.865149,2116.86
Probabilistic Counting,L=6,streaming,50,10000000,2324,100000,21041998,2297.72,82,0,0,nan,0,-2215.72,2215.72,-0.9643124489,0.9643122897,2215.725308,2215.72
Probabilistic Counting,L=6,streaming,50,10000000,2425,100000,21041998,2396.78,82,0,0,nan,0,-2314.78,2314.78,-0.9657874315,0.9657872874,2314.785221,2314.78
Probabilistic Counting,L=6,streaming,50,10000000,2526,100000,21041998,2495.08,82,0,0,nan,0,-2413.08,2413.08,-0.9671353223,0.9671351789,2413.085626,2413.08
Probabilistic Counting,L=6,streaming,50,10000000,2627,100000,21041998,2593.8,82,0,0,nan,0,-2511.8,2511.8,-0.9683861516,0.9683860063,2511.806155,2511.8
Probabilistic Counting,L=6,streaming,50,10000000,2728,100000,21041998,2691.98,82,0,0,nan,0,-2609.98,2609.98,-0.9695391496,0.969539021,2609.985858,2609.98
Probabilistic Counting,L=6,streaming,50,10000000,2829,100000,21041998,2790.26,82,0,0,nan,0,-2708.26,2708.26,-0.9706120577,0.9706119355,2708.265973,2708.26
Probabilistic Counting,L=6,streaming,50,10000000,2930,100000,21041998,2888.28,82,0,0,nan,0,-2806.28,2806.28,-0.9716094008,0.9716092799,2806.286329,2806.28
Probabilistic Counting,L=6,streaming,50,10000000,3031,100000,21041998,2986.48,82,0,0,nan,0,-2904.48,2904.48,-0.9725429268,0.9725428122,2904.486412,2904.48
Probabilistic Counting,L=6,streaming,50,10000000,3132,100000,21041998,3084.3,82,0,0,nan,0,-3002.3,3002.3,-0.9734137406,0.9734136374,3002.30615,3002.3
Probabilistic Counting,L=6,streaming,50,10000000,3233,100000,21041998,3182.08,82,0,0,nan,0,-3100.08,3100.08,-0.9742306919,0.9742306027,3100.08565,3100.08
Probabilistic Counting,L=6,streaming,50,10000000,3334,100000,21041998,3279.72,82,0,0,nan,0,-3197.72,3197.72,-0.9749978657,0.9749977798,3197.725779,3197.72
Probabilistic Counting,L=6,streaming,50,10000000,3435,100000,21041998,3377.38,82,0,0,nan,0,-3295.38,3295.38,-0.975720825,0.9757207321,3295.386627,3295.38
