d,rho,left_hash,merge_rel_mean,serial_rel_mean,baseline_gap_abs_mean
100000,100,murmurhash3,0.006630340955196001,0.006630340955196001,0.0
100000,100,siphash24,0.005919078568016,0.005919078568016,0.0
100000,100,splitmix64,0.006949407182416,0.006949407182416,0.0
100000,100,xxhash64,0.005393808225176,0.005393808225176,0.0
1000000,10,murmurhash3,0.005328823610992,0.005328823610992,0.0
1000000,10,siphash24,0.00721223163948,0.00721223163948,0.0
1000000,10,splitmix64,0.008206764312416,0.008206764312416,0.0
1000000,10,xxhash64,0.0058950424802236,0.0058950424802236,0.0
10000000,1,murmurhash3,0.0025502,0.0025502,0.0
10000000,1,siphash24,0.0070566,0.0070566,0.0
10000000,1,splitmix64,0.0026329,0.0026329,0.0
10000000,1,xxhash64,0.011019899999999997,0.011019899999999997,0.0
