algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199041,199643,199643,602,0.003024502489,602,0.003024502489,199643,0
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199046,198539,198539,507,0.002547149905,507,0.002547149905,198539,0
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198993,197812,197812,1181,0.005934882132,1181,0.005934882132,197812,0
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199014,198640,198640,374,0.001879264775,374,0.001879264775,198640,0
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,198271,198271,744,0.003738411678,744,0.003738411678,198271,0
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198981,200325,200325,1344,0.006754413738,1344,0.006754413738,200325,0
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198949,201050,201050,2101,0.0105604954,2101,0.0105604954,201050,0
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199005,198697,198697,308,0.001547699807,308,0.001547699807,198697,0
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198983,201167,201167,2184,0.010975812,2184,0.010975812,201167,0
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199064,199268,199268,204,0.001024796045,204,0.001024796045,199268,0
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198983,199537,199537,554,0.002784157441,554,0.002784157441,199537,0
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198972,195872,195872,3100,0.01558008162,3100,0.01558008162,195872,0
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,198779,198779,236,0.001185840263,236,0.001185840263,198779,0
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198972,199308,199308,336,0.001688679814,336,0.001688679814,199308,0
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199003,197863,197863,1140,0.005728556856,1140,0.005728556856,197863,0
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199026,199089,199089,63,0.0003165415574,63,0.0003165415574,199089,0
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199033,201860,201860,2827,0.01420367477,2827,0.01420367477,201860,0
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,197145,197145,1870,0.009396276663,1870,0.009396276663,197145,0
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199010,198481,198481,529,0.002658157882,529,0.002658157882,198481,0
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198980,199568,199568,588,0.002955070861,588,0.002955070861,199568,0
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198988,199679,199679,691,0.00347257121,691,0.00347257121,199679,0
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198977,201776,201776,2799,0.01406695246,2799,0.01406695246,201776,0
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198979,199281,199281,302,0.001517748104,302,0.001517748104,199281,0
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,198979,200989,200989,2010,0.01010156851,2010,0.01010156851,200989,0
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,siphash24,siphash24,21041998,21041998,k=14,k=14,direct,valid,pairwise,199042,196189,196189,2853,0.01433365822,2853,0.01433365822,196189,0
