algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199041,201073,201073,2032,0.01020895192,2032,0.01020895192,201073,0
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199046,200739,200739,1693,0.008505571576,1693,0.008505571576,200739,0
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198993,198359,198359,634,0.00318604172,634,0.00318604172,198359,0
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199014,198761,198761,253,0.001271267348,253,0.001271267348,198761,0
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,196964,196964,2051,0.01030575585,2051,0.01030575585,196964,0
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198981,195222,195222,3759,0.01889125092,3759,0.01889125092,195222,0
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198949,198141,198141,808,0.004061342354,808,0.004061342354,198141,0
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199005,196280,196280,2725,0.01369312329,2725,0.01369312329,196280,0
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198983,201094,201094,2111,0.01060894649,2111,0.01060894649,201094,0
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199064,197196,197196,1868,0.00938391673,1868,0.00938391673,197196,0
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198983,195399,195399,3584,0.01801158893,3584,0.01801158893,195399,0
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198972,197461,197461,1511,0.007594033331,1511,0.007594033331,197461,0
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,197284,197284,1731,0.008697836846,1731,0.008697836846,197284,0
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198972,200803,200803,1831,0.009202299821,1831,0.009202299821,200803,0
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199003,199133,199133,130,0.0006532564836,130,0.0006532564836,199133,0
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199026,199952,199952,926,0.004652658447,926,0.004652658447,199952,0
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199033,198966,198966,67,0.0003366275944,67,0.0003366275944,198966,0
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199015,198499,198499,516,0.002592769389,516,0.002592769389,198499,0
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199010,197621,197621,1389,0.006979548766,1389,0.006979548766,197621,0
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198980,199319,199319,339,0.001703688813,339,0.001703688813,199319,0
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198988,197951,197951,1037,0.00521136953,1037,0.00521136953,197951,0
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198977,198806,198806,171,0.0008593958096,171,0.0008593958096,198806,0
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198979,200144,200144,1165,0.005854889209,1165,0.005854889209,200144,0
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,198979,199023,199023,44,0.0002211288628,44,0.0002211288628,199023,0
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,splitmix64,splitmix64,21041998,21041998,k=14,k=14,direct,valid,pairwise,199042,196843,196843,2199,0.01104791953,2199,0.01104791953,196843,0
