algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899825,1902912,1902912,3087,0.001624886503,3087,0.001624886503,1902912,0
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899999,1900020,1900020,21,1.10526374e-05,21,1.10526374e-05,1900020,0
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899415,1890850,1890850,8565,0.004509283121,8565,0.004509283121,1890850,0
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899684,1904545,1904545,4861,0.002558846629,4861,0.002558846629,1904545,0
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899939,1895095,1895095,4844,0.002549555538,4844,0.002549555538,1895095,0
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899803,1879815,1879815,19988,0.01052109087,19988,0.01052109087,1879815,0
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899775,1904602,1904602,4827,0.002540827203,4827,0.002540827203,1904602,0
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900479,1902152,1902152,1673,0.0008803043864,1673,0.0008803043864,1902152,0
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899782,1911359,1911359,11577,0.006093857085,11577,0.006093857085,1911359,0
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900202,1892902,1892902,7300,0.00384169683,7300,0.00384169683,1892902,0
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900093,1891320,1891320,8773,0.004617142424,8773,0.004617142424,1891320,0
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899520,1936769,1936769,37249,0.01960969087,37249,0.01960969087,1936769,0
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899889,1912900,1912900,13011,0.006848294821,13011,0.006848294821,1912900,0
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900236,1899188,1899188,1048,0.000551510444,1048,0.000551510444,1899188,0
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899776,1911992,1911992,12216,0.006430231775,12216,0.006430231775,1911992,0
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900065,1875842,1875842,24223,0.01274851124,24223,0.01274851124,1875842,0
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900115,1906550,1906550,6435,0.003386637125,6435,0.003386637125,1906550,0
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900443,1934317,1934317,33874,0.01782426518,33874,0.01782426518,1934317,0
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900447,1907811,1907811,7364,0.003874877858,7364,0.003874877858,1907811,0
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900015,1902253,1902253,2238,0.001177885438,2238,0.001177885438,1902253,0
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900150,1902032,1902032,1882,0.0009904481225,1882,0.0009904481225,1902032,0
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899601,1918514,1918514,18913,0.00995630135,18913,0.00995630135,1918514,0
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1900370,1899319,1899319,1051,0.0005530501955,1051,0.0005530501955,1899319,0
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899707,1913746,1913746,14039,0.007390086998,14039,0.007390086998,1913746,0
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,murmurhash3,21041998,21041998,k=14,k=14,direct,valid,pairwise,1899772,1903819,1903819,4047,0.002130255631,4047,0.002130255631,1903819,0
