algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199041,nan,200034,nan,nan,993,0.00498892188,200034,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199046,nan,199281,nan,nan,235,0.001180631613,199281,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198993,nan,196724,nan,nan,2269,0.01140241114,196724,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199014,nan,199889,nan,nan,875,0.004396675611,199889,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,199144,nan,nan,129,0.0006481923473,199144,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198981,nan,201486,nan,nan,2505,0.01258914168,201486,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198949,nan,200125,nan,nan,1176,0.005911062634,200125,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199005,nan,201481,nan,nan,2476,0.01244189844,201481,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,198615,nan,nan,368,0.00184940422,198615,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199064,nan,199831,nan,nan,767,0.003853032191,199831,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,198662,nan,nan,321,0.001613203138,198662,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,198481,nan,nan,491,0.002467683895,198481,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,197466,nan,nan,1549,0.007783332915,197466,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,198450,nan,nan,522,0.002623484711,198450,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199003,nan,197863,nan,nan,1140,0.005728556856,197863,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199026,nan,199619,nan,nan,593,0.002979510215,199619,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199033,nan,199783,nan,nan,750,0.003768219341,199783,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,197842,nan,nan,1173,0.005894028088,197842,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199010,nan,199512,nan,nan,502,0.002522486307,199512,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198980,nan,200364,nan,nan,1384,0.006955472912,200364,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198988,nan,199045,nan,nan,57,0.0002864494341,199045,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198977,nan,198741,nan,nan,236,0.001186066731,198741,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,200711,nan,nan,1732,0.008704436147,200711,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,202386,nan,nan,3407,0.0171224099,202386,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,reject,invalid,pairwise,199042,nan,197858,nan,nan,1184,0.005948493283,197858,nan
