algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199041,200057,200034,1016,0.005104475962,993,0.00498892188,200034,23
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199046,199142,199281,96,0.0004823005737,235,0.001180631613,199281,139
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198993,198580,196724,413,0.00207544989,2269,0.01140241114,196724,1856
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199014,201832,199889,2818,0.01415980785,875,0.004396675611,199889,1943
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,197660,199144,1355,0.00680853202,129,0.0006481923473,199144,1484
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198981,201383,201486,2402,0.01207150431,2505,0.01258914168,201486,103
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198949,198742,200125,207,0.001040467658,1176,0.005911062634,200125,1383
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199005,200002,201481,997,0.005009924374,2476,0.01244189844,201481,1479
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,200892,198615,1909,0.009593784394,368,0.00184940422,198615,2277
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199064,200271,199831,1207,0.006063376602,767,0.003853032191,199831,440
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,198996,198662,13,6.533221431e-05,321,0.001613203138,198662,334
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,198793,198481,179,0.0008996240677,491,0.002467683895,198481,312
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,198707,197466,308,0.001547622039,1549,0.007783332915,197466,1241
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,201597,198450,2625,0.01319281105,522,0.002623484711,198450,3147
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199003,200056,197863,1053,0.005291377517,1140,0.005728556856,197863,2193
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199026,199536,199619,510,0.002562479274,593,0.002979510215,199619,83
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199033,202105,199783,3072,0.01543462642,750,0.003768219341,199783,2322
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,199087,197842,72,0.0003617817752,1173,0.005894028088,197842,1245
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199010,196499,199512,2511,0.01261745641,502,0.002522486307,199512,3013
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198980,202083,200364,3103,0.01559453211,1384,0.006955472912,200364,1719
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198988,199122,199045,134,0.0006734074417,57,0.0002864494341,199045,77
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198977,200350,198741,1373,0.006900295009,236,0.001186066731,198741,1609
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,198626,200711,353,0.001774056559,1732,0.008704436147,200711,2085
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,201418,202386,2439,0.01225757492,3407,0.0171224099,202386,968
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,xxhash64,siphash24,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199042,198089,197858,953,0.004787934205,1184,0.005948493283,197858,231
