algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,2001601,1895744,101776,0.05357124998,4081,0.002148092587,1895744,105857
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,1972728,1902712,72729,0.0382784412,2713,0.001427895488,1902712,70016
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1985563,1914021,86148,0.0453550172,14606,0.00768973605,1914021,71542
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,1989005,1901258,89321,0.04701887261,1574,0.0008285588551,1901258,87747
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,1983123,1922329,83184,0.04378245828,22390,0.01178458887,1922329,60794
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1969094,1866109,69291,0.03647272901,33694,0.0177355231,1866109,102985
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,2004806,1901009,105031,0.05528602071,1234,0.0006495506047,1901009,103797
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,2019610,1922915,119131,0.06268472317,22436,0.01180544484,1922915,96695
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,1994320,1911733,94538,0.0497625517,11951,0.006290721778,1911733,82587
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,2020678,1926016,120476,0.06340168045,25814,0.0135848715,1926016,94662
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1987232,1890155,87139,0.04586038683,9938,0.005230270308,1890155,97077
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,2023523,1909495,124003,0.06528122894,9975,0.005251326651,1909495,114028
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,1983642,1901268,83753,0.0440831017,1379,0.0007258318775,1901268,82374
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,1978359,1887109,78123,0.04111226185,13127,0.006908089311,1887109,91250
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899776,1995223,1893201,95447,0.05024118633,6575,0.003460934342,1893201,102022
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900065,2008068,1924566,108003,0.05684173962,24501,0.01289482202,1924566,83502
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900115,1984927,1910653,84812,0.04463519313,10538,0.005545980112,1910653,74274
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900443,2001404,1885361,100961,0.05312498191,15082,0.007936044385,1885361,116043
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900447,2025535,1917878,125088,0.06582030438,17431,0.00917205268,1917878,107657
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900015,2002995,1900163,102980,0.05419957211,148,7.789412189e-05,1900163,102832
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900150,1981429,1903139,81279,0.04277504408,2989,0.001573033708,1903139,78290
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,murmurhash3,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899601,2007283,1887791,107682,0.05668664104,11810,0.006217095064,1887791,119492
