algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,1992105,1895744,92280,0.04857289487,4081,0.002148092587,1895744,96361
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,2000953,1902712,100954,0.05313371218,2713,0.001427895488,1902712,98241
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1992685,1914021,93270,0.04910459273,14606,0.00768973605,1914021,78664
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,2038324,1901258,138640,0.07298055887,1574,0.0008285588551,1901258,137066
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,2002852,1922329,102913,0.05416647587,22390,0.01178458887,1922329,80523
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1984871,1866109,85068,0.04477727428,33694,0.0177355231,1866109,118762
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,1983697,1901009,83922,0.0441747049,1234,0.0006495506047,1901009,82688
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,2012884,1922915,112405,0.05914561539,22436,0.01180544484,1922915,89969
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,2007609,1911733,107827,0.05675756482,11951,0.006290721778,1911733,95876
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,2006713,1926016,106511,0.05605246179,25814,0.0135848715,1926016,80697
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1982727,1890155,82634,0.04348945025,9938,0.005230270308,1890155,92572
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,1995533,1909495,96013,0.05054592739,9975,0.005251326651,1909495,86038
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,1970067,1901268,70178,0.03693794743,1379,0.0007258318775,1901268,68799
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,1999471,1887109,99235,0.05222246079,13127,0.006908089311,1887109,112362
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899776,1981913,1893201,82137,0.04323509719,6575,0.003460934342,1893201,88712
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,splitmix64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900065,2006992,1924566,106927,0.05627544321,24501,0.01289482202,1924566,82426
