algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199041,198013,197692,1028,0.005164765048,1349,0.006777498103,197692,321
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199046,200664,197496,1618,0.008128774253,1550,0.00778714468,197496,3168
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198993,201578,197176,2585,0.0129904067,1817,0.009130974456,197176,4402
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199014,198668,197681,346,0.001738571156,1333,0.006698021245,197681,987
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,199777,197868,762,0.003828857121,1147,0.005763384669,197868,1909
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198981,201797,201243,2816,0.01415210497,2262,0.01136791955,201243,554
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198949,201862,199564,2913,0.01464194341,615,0.00309124449,199564,2298
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199005,202119,200554,3114,0.01564784804,1549,0.007783724027,200554,1565
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,198469,200013,514,0.002583135243,1030,0.005176321595,200013,1544
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199064,200734,199578,1670,0.008389261745,514,0.002582084154,199578,1156
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,200090,198180,1107,0.005563289326,803,0.004035520622,198180,1910
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,200933,198268,1961,0.009855658083,704,0.003538186277,198268,2665
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,200587,199164,1572,0.007898902093,149,0.0007486872849,199164,1423
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,199165,197674,193,0.0009699857266,1298,0.006523530949,197674,1491
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199003,198245,200700,758,0.003808987804,1697,0.008527509636,200700,2455
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199026,202233,199408,3207,0.01611347261,382,0.001919347221,199408,2825
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199033,198696,199446,337,0.001693186557,413,0.002075032784,199446,750
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,203362,204172,4347,0.02184257468,5157,0.02591261965,204172,810
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199010,203376,199713,4366,0.02193859605,703,0.003532485805,199713,3663
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198980,200219,199281,1239,0.006226756458,301,0.001512714846,199281,938
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198988,199991,197182,1003,0.005040504955,1806,0.009075924176,197182,2809
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198977,201021,197655,2044,0.01027254406,1322,0.006643983978,197655,3366
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,198193,196568,786,0.003950165595,2411,0.01211685655,196568,1625
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,199990,196806,1011,0.005080938189,2173,0.01092075043,196806,3184
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199042,197394,198541,1648,0.008279659569,501,0.002517056702,198541,1147
