algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899825,nan,1915344,nan,nan,15519,0.008168647112,1915344,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899999,nan,1892386,nan,nan,7613,0.004006844214,1892386,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899415,nan,1889234,nan,nan,10181,0.00536007139,1889234,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899684,nan,1895272,nan,nan,4412,0.00232249153,1895272,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899939,nan,1905127,nan,nan,5188,0.002730613983,1905127,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899803,nan,1907613,nan,nan,7810,0.004110952557,1907613,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899775,nan,1881572,nan,nan,18203,0.009581660986,1881572,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900479,nan,1871952,nan,nan,28527,0.01501042632,1871952,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899782,nan,1906953,nan,nan,7171,0.003774643617,1906953,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900202,nan,1898095,nan,nan,2107,0.001108829482,1898095,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900093,nan,1868961,nan,nan,31132,0.01638446118,1868961,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899520,nan,1886562,nan,nan,12958,0.006821723383,1886562,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899889,nan,1889859,nan,nan,10030,0.005279255788,1889859,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900236,nan,1882585,nan,nan,17651,0.009288846228,1882585,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899776,nan,1890780,nan,nan,8996,0.004735295108,1890780,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900065,nan,1913649,nan,nan,13584,0.007149229105,1913649,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900115,nan,1905085,nan,nan,4970,0.002615631159,1905085,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900443,nan,1889037,nan,nan,11406,0.006001758537,1889037,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900447,nan,1893377,nan,nan,7070,0.003720177411,1893377,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900015,nan,1921215,nan,nan,21200,0.01115780665,1921215,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900150,nan,1911252,nan,nan,11102,0.005842696629,1911252,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899601,nan,1881215,nan,nan,18386,0.009678874669,1881215,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900370,nan,1931789,nan,nan,31419,0.01653309619,1931789,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899707,nan,1869733,nan,nan,29974,0.01577822264,1869733,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899772,nan,1893800,nan,nan,5972,0.003143535119,1893800,nan
