algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,2001521,1915344,101696,0.05352914084,15519,0.008168647112,1915344,86177
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,1997261,1892386,97262,0.05119055326,7613,0.004006844214,1892386,104875
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1995575,1889234,96160,0.05062611383,10181,0.00536007139,1889234,106341
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,1980188,1895272,80504,0.04237757438,4412,0.00232249153,1895272,84916
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,2028551,1905127,128612,0.06769269961,5188,0.002730613983,1905127,123424
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1962307,1907613,62504,0.03290025334,7810,0.004110952557,1907613,54694
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,1994979,1881572,95204,0.05011330289,18203,0.009581660986,1881572,113407
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,2012642,1871952,112163,0.05901827908,28527,0.01501042632,1871952,140690
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,1994272,1906953,94490,0.04973728565,7171,0.003774643617,1906953,87319
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,1992608,1898095,92406,0.04862956675,2107,0.001108829482,1898095,94513
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1973676,1868961,73583,0.0387259992,31132,0.01638446118,1868961,104715
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,1980677,1886562,81157,0.04272500421,12958,0.006821723383,1886562,94115
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,2013751,1889859,113862,0.05993086965,10030,0.005279255788,1889859,123892
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,siphash24,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,1976117,1882585,75881,0.0399324084,17651,0.009288846228,1882585,93532
