algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899825,nan,1917521,nan,nan,17696,0.009314542129,1917521,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899999,nan,1933091,nan,nan,33092,0.01741685127,1933091,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899415,nan,1911443,nan,nan,12028,0.006332476052,1911443,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899684,nan,1925498,nan,nan,25814,0.01358857578,1925498,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899939,nan,1877365,nan,nan,22574,0.01188143409,1877365,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899803,nan,1898762,nan,nan,1041,0.0005479515508,1898762,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899775,nan,1903435,nan,nan,3660,0.001926543933,1903435,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900479,nan,1894462,nan,nan,6017,0.003166043929,1894462,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899782,nan,1922545,nan,nan,22763,0.01198190108,1922545,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900202,nan,1919876,nan,nan,19674,0.01035363609,1919876,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900093,nan,1881175,nan,nan,18918,0.009956354768,1881175,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899520,nan,1917986,nan,nan,18466,0.009721403302,1917986,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899889,nan,1876010,nan,nan,23879,0.01256862901,1876010,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900236,nan,1895651,nan,nan,4585,0.002412858192,1895651,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899776,nan,1894627,nan,nan,5149,0.002710319532,1894627,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900065,nan,1905154,nan,nan,5089,0.002678329426,1905154,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900115,nan,1902482,nan,nan,2367,0.001245714075,1902482,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900443,nan,1899692,nan,nan,751,0.0003951710207,1899692,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900447,nan,1887412,nan,nan,13035,0.006858912666,1887412,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900015,nan,1869199,nan,nan,30816,0.01621881933,1869199,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900150,nan,1935848,nan,nan,35698,0.01878693787,1935848,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899601,nan,1897858,nan,nan,1743,0.0009175611089,1897858,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1900370,nan,1929213,nan,nan,28843,0.01517757068,1929213,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899707,nan,1921637,nan,nan,21930,0.01154388545,1921637,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,reject,invalid,pairwise,1899772,nan,1885587,nan,nan,14185,0.007466685476,1885587,nan
