algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,1997453,1917521,97628,0.05138789099,17696,0.009314542129,1917521,79932
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,2001782,1933091,101783,0.05357002819,33092,0.01741685127,1933091,68691
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1997218,1911443,97803,0.051491117,12028,0.006332476052,1911443,85775
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,2003015,1925498,103331,0.05439378339,25814,0.01358857578,1925498,77517
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,2011900,1877365,111961,0.05892873403,22574,0.01188143409,1877365,134535
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1967248,1898762,67445,0.03550104932,1041,0.0005479515508,1898762,68486
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,2006821,1903435,107046,0.05634667263,3660,0.001926543933,1903435,103386
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,2008295,1894462,107816,0.05673096098,6017,0.003166043929,1894462,113833
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,2039904,1922545,140122,0.07375688368,22763,0.01198190108,1922545,117359
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,2033992,1919876,133790,0.07040830396,19674,0.01035363609,1919876,114116
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1972685,1881175,72592,0.03820444578,18918,0.009956354768,1881175,91510
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,2007822,1917986,108302,0.05701545654,18466,0.009721403302,1917986,89836
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,2004837,1876010,104948,0.0552390166,23879,0.01256862901,1876010,128827
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,1970968,1895651,70732,0.03722274496,4585,0.002412858192,1895651,75317
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899776,1988054,1894627,88278,0.04646758355,5149,0.002710319532,1894627,93427
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900065,1997705,1905154,97640,0.05138771568,5089,0.002678329426,1905154,92551
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900115,2002521,1902482,102406,0.05389463269,2367,0.001245714075,1902482,100039
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900443,1963614,1899692,63171,0.03324014453,751,0.0003951710207,1899692,63922
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900447,1983336,1887412,82889,0.04361552835,13035,0.006858912666,1887412,95924
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900015,1973952,1869199,73937,0.03891390331,30816,0.01621881933,1869199,104753
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900150,2035704,1935848,135554,0.07133857853,35698,0.01878693787,1935848,99856
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899601,1998611,1897858,99010,0.05212147182,1743,0.0009175611089,1897858,100753
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900370,2002823,1929213,102453,0.0539121329,28843,0.01517757068,1929213,73610
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899707,2007301,1921637,107594,0.0566371551,21930,0.01154388545,1921637,85664
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,splitmix64,xxhash64,21041998,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899772,2008807,1885587,109035,0.05739372935,14185,0.007466685476,1885587,123220
