algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899825,nan,1902912,nan,nan,3087,0.001624886503,1902912,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899999,nan,1900020,nan,nan,21,1.10526374e-05,1900020,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899415,nan,1890850,nan,nan,8565,0.004509283121,1890850,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899684,nan,1904545,nan,nan,4861,0.002558846629,1904545,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899939,nan,1895095,nan,nan,4844,0.002549555538,1895095,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899803,nan,1879815,nan,nan,19988,0.01052109087,1879815,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899775,nan,1904602,nan,nan,4827,0.002540827203,1904602,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900479,nan,1902152,nan,nan,1673,0.0008803043864,1902152,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899782,nan,1911359,nan,nan,11577,0.006093857085,1911359,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900202,nan,1892902,nan,nan,7300,0.00384169683,1892902,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900093,nan,1891320,nan,nan,8773,0.004617142424,1891320,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899520,nan,1936769,nan,nan,37249,0.01960969087,1936769,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899889,nan,1912900,nan,nan,13011,0.006848294821,1912900,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900236,nan,1899188,nan,nan,1048,0.000551510444,1899188,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899776,nan,1911992,nan,nan,12216,0.006430231775,1911992,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900065,nan,1875842,nan,nan,24223,0.01274851124,1875842,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900115,nan,1906550,nan,nan,6435,0.003386637125,1906550,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900443,nan,1934317,nan,nan,33874,0.01782426518,1934317,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900447,nan,1907811,nan,nan,7364,0.003874877858,1907811,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900015,nan,1902253,nan,nan,2238,0.001177885438,1902253,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900150,nan,1902032,nan,nan,1882,0.0009904481225,1902032,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899601,nan,1918514,nan,nan,18913,0.00995630135,1918514,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1900370,nan,1899319,nan,nan,1051,0.0005530501955,1899319,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899707,nan,1913746,nan,nan,14039,0.007390086998,1913746,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,reject,invalid,pairwise,1899772,nan,1903819,nan,nan,4047,0.002130255631,1903819,nan
