algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,2005595,1902912,105770,0.05567354888,3087,0.001624886503,1902912,102683
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,2008538,1900020,108539,0.05712581954,21,1.10526374e-05,1900020,108518
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1984571,1890850,85156,0.04483275114,8565,0.004509283121,1890850,93721
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,2009408,1904545,109724,0.05775907993,4861,0.002558846629,1904545,104863
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,1997357,1895095,97418,0.05127427775,4844,0.002549555538,1895095,102262
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1981005,1879815,81202,0.04274232644,19988,0.01052109087,1879815,101190
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,1952562,1904602,52787,0.02778592202,4827,0.002540827203,1904602,47960
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,2002052,1902152,101573,0.05344599967,1673,0.0008803043864,1902152,99900
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,2000216,1911359,100434,0.05286606569,11577,0.006093857085,1911359,88857
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,1977282,1892902,77080,0.04056410845,7300,0.00384169683,1892902,84380
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1997427,1891320,97334,0.05122591368,8773,0.004617142424,1891320,106107
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,2010840,1936769,111320,0.05860427898,37249,0.01960969087,1936769,74071
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,1992580,1912900,92691,0.04878758706,13011,0.006848294821,1912900,79680
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,2008399,1899188,108163,0.05692082457,1048,0.000551510444,1899188,109211
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899776,2001867,1911992,102091,0.05373844074,12216,0.006430231775,1911992,89875
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900065,2015631,1875842,115566,0.06082212977,24223,0.01274851124,1875842,139789
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900115,2007674,1906550,107559,0.05660657381,6435,0.003386637125,1906550,101124
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900443,1999605,1934317,99162,0.05217836052,33874,0.01782426518,1934317,65288
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900447,2013711,1907811,113264,0.05959861022,7364,0.003874877858,1907811,105900
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900015,2002689,1902253,102674,0.05403852075,2238,0.001177885438,1902253,100436
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900150,2024392,1902032,124242,0.06538536431,1882,0.0009904481225,1902032,122360
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899601,2007274,1918514,107673,0.0566819032,18913,0.00995630135,1918514,88760
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900370,2019434,1899319,119064,0.0626530623,1051,0.0005530501955,1899319,120115
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899707,1993267,1913746,93560,0.04924970009,14039,0.007390086998,1913746,79521
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,murmurhash3,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899772,1986480,1903819,86708,0.04564126643,4047,0.002130255631,1903819,82661
