algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199041,nan,201537,nan,nan,2496,0.01254012992,201537,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199046,nan,196289,nan,nan,2757,0.0138510696,196289,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198993,nan,197149,nan,nan,1844,0.009266657621,197149,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199014,nan,199187,nan,nan,173,0.0008692855779,199187,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,200126,nan,nan,1111,0.005582493782,200126,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198981,nan,196185,nan,nan,2796,0.01405159287,196185,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198949,nan,197131,nan,nan,1818,0.009138020297,197131,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199005,nan,198766,nan,nan,239,0.00120097485,198766,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,200721,nan,nan,1738,0.008734414498,200721,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199064,nan,199845,nan,nan,781,0.003923361331,199845,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,198435,nan,nan,548,0.002754004111,198435,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,199878,nan,nan,906,0.004553404499,199878,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,201685,nan,nan,2670,0.01341607417,201685,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,197811,nan,nan,1161,0.005834991858,197811,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199003,nan,197069,nan,nan,1934,0.009718446456,197069,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199026,nan,199331,nan,nan,305,0.001532463095,199331,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199033,nan,200515,nan,nan,1482,0.007446001417,200515,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,197321,nan,nan,1694,0.008511921212,197321,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199010,nan,197677,nan,nan,1333,0.006698155872,197677,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198980,nan,199199,nan,nan,219,0.001100613127,199199,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198988,nan,201841,nan,nan,2853,0.01433754799,201841,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198977,nan,199591,nan,nan,614,0.003085783784,199591,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,199480,nan,nan,501,0.002517853643,199480,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,196508,nan,nan,2471,0.01241839591,196508,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,reject,invalid,pairwise,199042,nan,199617,nan,nan,575,0.002888837532,199617,nan
