algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199041,201971,201537,2930,0.01472058521,2496,0.01254012992,201537,434
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199046,198758,196289,288,0.001446901721,2757,0.0138510696,196289,2469
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198993,197654,197149,1339,0.00672887991,1844,0.009266657621,197149,505
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199014,201543,199187,2529,0.01270764871,173,0.0008692855779,199187,2356
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,199903,200126,888,0.004461975228,1111,0.005582493782,200126,223
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198981,198333,196185,648,0.003256592338,2796,0.01405159287,196185,2148
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198949,199377,197131,428,0.002151305108,1818,0.009138020297,197131,2246
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199005,201944,198766,2939,0.01476847315,239,0.00120097485,198766,3178
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,200414,200721,1431,0.007191569129,1738,0.008734414498,200721,307
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199064,202163,199845,3099,0.01556785757,781,0.003923361331,199845,2318
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,198258,198435,725,0.003643527337,548,0.002754004111,198435,177
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,196904,199878,2068,0.01039342219,906,0.004553404499,199878,2974
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,200154,201685,1139,0.005723186694,2670,0.01341607417,201685,1531
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198972,200291,197811,1319,0.006629073437,1161,0.005834991858,197811,2480
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199003,201110,197069,2107,0.01058778008,1934,0.009718446456,197069,4041
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199026,202198,199331,3172,0.01593761619,305,0.001532463095,199331,2867
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199033,200296,200515,1263,0.006345681369,1482,0.007446001417,200515,219
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,200676,197321,1661,0.008346104565,1694,0.008511921212,197321,3355
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199010,199232,197677,222,0.001115521833,1333,0.006698155872,197677,1555
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198980,201933,199199,2953,0.01484068751,219,0.001100613127,199199,2734
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198988,201350,201841,2362,0.01187006252,2853,0.01433754799,201841,491
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198977,199975,199591,998,0.005015655076,614,0.003085783784,199591,384
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,199093,199480,114,0.000572924781,501,0.002517853643,199480,387
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198979,198431,196508,548,0.002754059474,2471,0.01241839591,196508,1923
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,murmurhash3,murmurhash3,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199042,201817,199617,2775,0.01394178113,575,0.002888837532,199617,2200
