algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899825,1994639,1895744,94814,0.04990670193,4081,0.002148092587,1895744,98895
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899999,1993627,1902712,93628,0.04927792067,2713,0.001427895488,1902712,90915
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899415,1992580,1914021,93165,0.04904931255,14606,0.00768973605,1914021,78559
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899684,2023424,1901258,123740,0.06513714913,1574,0.0008285588551,1901258,122166
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899939,2007907,1922329,107968,0.05682708761,22390,0.01178458887,1922329,85578
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899803,1980835,1866109,81032,0.04265284348,33694,0.0177355231,1866109,114726
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899775,1972484,1901009,72709,0.038272427,1234,0.0006495506047,1901009,71475
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900479,1991723,1922915,91244,0.04801105406,22436,0.01180544484,1922915,68808
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899782,1994560,1911733,94778,0.04988888199,11951,0.006290721778,1911733,82827
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900202,1998564,1926016,98362,0.05176397036,25814,0.0135848715,1926016,72548
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900093,1969477,1890155,69384,0.03651610737,9938,0.005230270308,1890155,79322
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899520,1995894,1909495,96374,0.0507359754,9975,0.005251326651,1909495,86399
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899889,1994083,1901268,94194,0.04957868591,1379,0.0007258318775,1901268,92815
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900236,1965324,1887109,65088,0.03425258757,13127,0.006908089311,1887109,78215
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899776,1990039,1893201,90263,0.04751244357,6575,0.003460934342,1893201,96838
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900065,2004741,1924566,104676,0.0550907469,24501,0.01289482202,1924566,80175
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900115,2013933,1910653,113818,0.05990058496,10538,0.005545980112,1910653,103280
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900443,2002175,1885361,101732,0.05353067679,15082,0.007936044385,1885361,116814
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900447,1974911,1917878,74464,0.03918236078,17431,0.00917205268,1917878,57033
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900015,1998066,1900163,98051,0.05160538206,148,7.789412189e-05,1900163,97903
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900150,1991868,1903139,91718,0.04826882088,2989,0.001573033708,1903139,88729
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899601,1975584,1887791,75983,0.03999945252,11810,0.006217095064,1887791,87793
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1900370,2008534,1911331,108164,0.05691733715,10961,0.005767824161,1911331,97203
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899707,2021429,1904456,121722,0.06407409143,4749,0.002499859189,1904456,116973
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,xxhash64,xxhash64,21041998,17,k=14,k=14,unsafe_naive_merge,invalid,pairwise,1899772,2014871,1900095,115099,0.06058569134,323,0.0001700204024,1900095,114776
