algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199041,nan,198338,nan,nan,703,0.003531935631,198338,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199046,nan,198248,nan,nan,798,0.004009123519,198248,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198993,nan,197587,nan,nan,1406,0.007065575171,197587,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199014,nan,201393,nan,nan,2379,0.01195393289,201393,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,198586,nan,nan,429,0.002155616411,198586,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198981,nan,199088,nan,nan,107,0.0005377397842,199088,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198949,nan,200877,nan,nan,1928,0.009690925815,200877,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199005,nan,200277,nan,nan,1272,0.006391799201,200277,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,199938,nan,nan,955,0.004799404974,199938,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199064,nan,199889,nan,nan,825,0.004144395772,199889,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198983,nan,199526,nan,nan,543,0.002728876336,199526,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,201794,nan,nan,2822,0.01418290011,201794,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,198702,nan,nan,313,0.001572745773,198702,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198972,nan,196858,nan,nan,2114,0.0106246105,196858,nan
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199003,nan,199346,nan,nan,343,0.001723592107,199346,nan
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199026,nan,200269,nan,nan,1243,0.006245415172,200269,nan
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199033,nan,197991,nan,nan,1042,0.005235312737,197991,nan
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199015,nan,200430,nan,nan,1415,0.007110016833,200430,nan
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199010,nan,200082,nan,nan,1072,0.005386663987,200082,nan
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198980,nan,197852,nan,nan,1128,0.005668911448,197852,nan
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198988,nan,200862,nan,nan,1874,0.009417653326,200862,nan
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198977,nan,199365,nan,nan,388,0.001949974118,199365,nan
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,201291,nan,nan,2312,0.01161931661,201291,nan
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,198979,nan,199997,nan,nan,1018,0.005116117781,199997,nan
HyperLogLog++,merge_heterogeneous,25,10000000,24,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,reject,invalid,pairwise,199042,nan,200160,nan,nan,1118,0.005616904975,200160,nan
