algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199041,201510,198338,2469,0.01240447948,703,0.003531935631,198338,3172
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199046,201586,198248,2540,0.01276086935,798,0.004009123519,198248,3338
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198993,198025,197587,968,0.004864492721,1406,0.007065575171,197587,438
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199014,198253,201393,761,0.003823851588,2379,0.01195393289,201393,3140
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199015,201087,198586,2072,0.01041127553,429,0.002155616411,198586,2501
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198981,197370,199088,1611,0.008096250396,107,0.0005377397842,199088,1718
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198949,202832,200877,3883,0.0195175648,1928,0.009690925815,200877,1955
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199005,201180,200277,2175,0.01092937363,1272,0.006391799201,200277,903
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,197202,199938,1781,0.00895051336,955,0.004799404974,199938,2736
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,199064,202883,199889,3819,0.01918478479,825,0.004144395772,199889,2994
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,17,21041998,k=14,k=14,unsafe_naive_merge,invalid,pairwise,198983,201942,199526,2959,0.01487061709,543,0.002728876336,199526,2416
