scenario,strategy,validity,d,rho,left_hash,right_hash,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,baseline_gap_rel_mean,degradation_ratio_mean
ctrl,direct,valid,100000,100,murmurhash3,murmurhash3,25,0.006630340955196001,0.006523530949,0.02591261965,0.006630340955196001,0.0,0.0,0.0,1.0
ctrl,direct,valid,100000,100,siphash24,siphash24,25,0.005919078568016,0.00347257121,0.01558008162,0.005919078568016,0.0,0.0,0.0,1.0
ctrl,direct,valid,100000,100,splitmix64,splitmix64,25,0.006949407182416,0.006979548766,0.01889125092,0.006949407182416,0.0,0.0,0.0,1.0
ctrl,direct,valid,100000,100,xxhash64,xxhash64,25,0.005393808225176,0.004396675611,0.0171224099,0.005393808225176,0.0,0.0,0.0,1.0
ctrl,direct,valid,1000000,10,murmurhash3,murmurhash3,25,0.005328823610992,0.00384169683,0.01960969087,0.005328823610992,0.0,0.0,0.0,1.0
ctrl,direct,valid,1000000,10,siphash24,siphash24,25,0.00721223163948,0.005842696629,0.01653309619,0.00721223163948,0.0,0.0,0.0,1.0
ctrl,direct,valid,1000000,10,splitmix64,splitmix64,25,0.008206764312416,0.009314542129,0.01878693787,0.008206764312416,0.0,0.0,0.0,1.0
ctrl,direct,valid,1000000,10,xxhash64,xxhash64,25,0.0058950424802236,0.005545980112,0.0177355231,0.0058950424802236,0.0,0.0,0.0,1.0
ctrl,direct,valid,10000000,1,murmurhash3,murmurhash3,25,0.0025502,0.0025502,0.0025502,0.0025502,0.0,0.0,0.0,1.0
ctrl,direct,valid,10000000,1,siphash24,siphash24,25,0.0070566,0.0070566,0.0070566,0.0070566,0.0,0.0,0.0,1.0
ctrl,direct,valid,10000000,1,splitmix64,splitmix64,25,0.0026329,0.0026329,0.0026329,0.0026329,0.0,0.0,0.0,1.0
ctrl,direct,valid,10000000,1,xxhash64,xxhash64,25,0.011019899999999997,0.0110199,0.0110199,0.011019899999999997,0.0,0.0,0.0,1.0
seed_xx,reject,invalid,100000,100,xxhash64,xxhash64,25,,,,0.005393808225176,,,,
seed_xx,reject,invalid,1000000,10,xxhash64,xxhash64,25,,,,0.0058950424802236,,,,
seed_xx,reject,invalid,10000000,1,xxhash64,xxhash64,25,,,,0.011019899999999997,,,,
seed_xx,unsafe_naive_merge,invalid,100000,100,xxhash64,xxhash64,25,0.007634359297316,0.007674099537,0.01769297659,0.005393808225176,1251.48,2889.0,0.006288998760286093,2.534195261624358
seed_xx,unsafe_naive_merge,invalid,1000000,10,xxhash64,xxhash64,25,0.0499415317364,0.04988888199,0.06513714913,0.0058950424802236,91230.6,122166.0,0.048017373183899384,57.83553222109107
seed_xx,unsafe_naive_merge,invalid,10000000,1,xxhash64,xxhash64,25,0.9695475,0.9695475,0.9695475,0.011019899999999997,9585276.0,9585276.0,0.9585276,87.98151525875916
seed_xx_rev,reject,invalid,100000,100,xxhash64,xxhash64,25,,,,0.005939178439248,,,,
seed_xx_rev,reject,invalid,1000000,10,xxhash64,xxhash64,25,,,,0.00553662188902,,,,
seed_xx_rev,reject,invalid,10000000,1,xxhash64,xxhash64,25,,,,0.0187521,,,,
seed_xx_rev,unsafe_naive_merge,invalid,100000,100,xxhash64,xxhash64,25,0.01062787832596,0.00895051336,0.02506282038,0.005939178439248,1798.44,6115.0,0.009037245247887425,2.841623533397276
seed_xx_rev,unsafe_naive_merge,invalid,1000000,10,xxhash64,xxhash64,25,0.051313691986,0.05155529029,0.06150451373,0.00553662188902,103398.8,125267.0,0.05442187849106068,31.906050679754195
seed_xx_rev,unsafe_naive_merge,invalid,10000000,1,xxhash64,xxhash64,25,0.9695475,0.9695475,0.9695475,0.0187521,9882996.0,9882996.0,0.9882996,51.703409218167565
seed_murmur,reject,invalid,100000,100,murmurhash3,murmurhash3,25,,,,0.006630340955196001,,,,
seed_murmur,reject,invalid,1000000,10,murmurhash3,murmurhash3,25,,,,0.005328823610992,,,,
seed_murmur,reject,invalid,10000000,1,murmurhash3,murmurhash3,25,,,,0.0025502,,,,
seed_murmur,unsafe_naive_merge,invalid,100000,100,murmurhash3,murmurhash3,25,0.00569586112842,0.004848612744,0.01801258469,0.006630340955196001,1877.4,4288.0,0.009434275946970829,2.167407563678075
seed_murmur,unsafe_naive_merge,invalid,1000000,10,murmurhash3,murmurhash3,25,0.052648097437599996,0.05373844074,0.06538536431,0.005328823610992,95969.28,139789.0,0.05051062107878985,231.27551454560228
seed_murmur,unsafe_naive_merge,invalid,10000000,1,murmurhash3,murmurhash3,25,0.9842226,0.9842226,0.9842226,0.0025502,9867728.0,9867728.0,0.9867728,385.93937730374086
seed_murmur_rev,reject,invalid,100000,100,murmurhash3,murmurhash3,25,,,,0.007038899800916,,,,
seed_murmur_rev,reject,invalid,1000000,10,murmurhash3,murmurhash3,25,,,,0.0055917714167476,,,,
seed_murmur_rev,reject,invalid,10000000,1,murmurhash3,murmurhash3,25,,,,0.0011876,,,,
seed_murmur_rev,unsafe_naive_merge,invalid,100000,100,murmurhash3,murmurhash3,25,0.0080287548904,0.00672887991,0.01593761619,0.007038899800916,1740.08,4041.0,0.00874394975992688,2.9939025809035305
seed_murmur_rev,unsafe_naive_merge,invalid,1000000,10,murmurhash3,murmurhash3,25,0.052706349391199996,0.05440764281,0.06754447233,0.0055917714167476,101855.4,140131.0,0.05360938264975987,89.78309433351868
seed_murmur_rev,unsafe_naive_merge,invalid,10000000,1,murmurhash3,murmurhash3,25,0.9842226,0.9842226,0.9842226,0.0011876,9830350.0,9830350.0,0.983035,828.7492421690804
family,reject,invalid,100000,100,xxhash64,murmurhash3,25,,,,0.005393808225176,,,,
family,reject,invalid,100000,100,xxhash64,siphash24,25,,,,0.005393808225176,,,,
family,reject,invalid,100000,100,xxhash64,splitmix64,25,,,,0.005393808225176,,,,
family,reject,invalid,1000000,10,xxhash64,murmurhash3,25,,,,0.0058950424802236,,,,
family,reject,invalid,1000000,10,xxhash64,siphash24,25,,,,0.0058950424802236,,,,
family,reject,invalid,1000000,10,xxhash64,splitmix64,25,,,,0.0058950424802236,,,,
family,reject,invalid,10000000,1,xxhash64,murmurhash3,25,,,,0.011019899999999997,,,,
family,reject,invalid,10000000,1,xxhash64,siphash24,25,,,,0.011019899999999997,,,,
family,reject,invalid,10000000,1,xxhash64,splitmix64,25,,,,0.011019899999999997,,,,
family,unsafe_naive_merge,invalid,100000,100,xxhash64,murmurhash3,25,0.007597860331344,0.006739370791,0.01825499714,0.005393808225176,1042.96,2940.0,0.005240832319001484,3.0327789241606284
family,unsafe_naive_merge,invalid,100000,100,xxhash64,siphash24,25,0.006254821385824401,0.005104475962,0.01559453211,0.005393808225176,1268.24,3147.0,0.0063731748093856355,2.093916396373391
family,unsafe_naive_merge,invalid,100000,100,xxhash64,splitmix64,25,0.005816002815936,0.005171399997,0.01323814596,0.005393808225176,1365.68,3534.0,0.0068625544918049,2.4958473026046955
family,unsafe_naive_merge,invalid,1000000,10,xxhash64,murmurhash3,25,0.050973821464,0.05024118633,0.06582030438,0.0058950424802236,93192.72,119492.0,0.049049662912359376,56.624006014066566
family,unsafe_naive_merge,invalid,1000000,10,xxhash64,siphash24,25,0.052661926218800004,0.0519585094,0.06697800955,0.0058950424802236,96399.8,139416.0,0.05073776766623321,61.996939256165085
family,unsafe_naive_merge,invalid,1000000,10,xxhash64,splitmix64,25,0.052216737554400004,0.05222246079,0.07298055887,0.0058950424802236,95554.28,137066.0,0.050292579001905355,55.413560390618905
family,unsafe_naive_merge,invalid,10000000,1,xxhash64,murmurhash3,25,0.9940626,0.9940626,0.9940626,0.011019899999999997,9830427.0,9830427.0,0.9830427,90.2061361718346
family,unsafe_naive_merge,invalid,10000000,1,xxhash64,siphash24,25,0.9891191,0.9891191,0.9891191,0.011019899999999997,9780992.0,9780992.0,0.9780992,89.75753863465187
family,unsafe_naive_merge,invalid,10000000,1,xxhash64,splitmix64,25,1.009634,1.009634,1.009634,0.011019899999999997,9986141.0,9986141.0,0.9986141,91.61916169838202
family_rev,reject,invalid,100000,100,murmurhash3,xxhash64,25,,,,0.006630340955196001,,,,
family_rev,reject,invalid,100000,100,siphash24,xxhash64,25,,,,0.005919078568016,,,,
family_rev,reject,invalid,100000,100,splitmix64,xxhash64,25,,,,0.006949407182416,,,,
family_rev,reject,invalid,1000000,10,murmurhash3,xxhash64,25,,,,0.005328823610992,,,,
family_rev,reject,invalid,1000000,10,siphash24,xxhash64,25,,,,0.00721223163948,,,,
family_rev,reject,invalid,1000000,10,splitmix64,xxhash64,25,,,,0.008206764312416,,,,
family_rev,reject,invalid,10000000,1,murmurhash3,xxhash64,25,,,,0.0025502,,,,
family_rev,reject,invalid,10000000,1,siphash24,xxhash64,25,,,,0.0070566,,,,
family_rev,reject,invalid,10000000,1,splitmix64,xxhash64,25,,,,0.0026329,,,,
family_rev,unsafe_naive_merge,invalid,100000,100,murmurhash3,xxhash64,25,0.008632035577664,0.007898902093,0.02193859605,0.006630340955196001,1958.6,4402.0,0.009842269289050846,2.3106149965439458
