algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog++,k=18,merge,25,10000000,0,21041998,199212,199212,0,0
HyperLogLog++,k=18,merge,25,10000000,1,21041998,199120,199120,0,0
HyperLogLog++,k=18,merge,25,10000000,2,21041998,199118,199118,0,0
HyperLogLog++,k=18,merge,25,10000000,3,21041998,198804,198804,0,0
HyperLogLog++,k=18,merge,25,10000000,4,21041998,198938,198938,0,0
HyperLogLog++,k=18,merge,25,10000000,5,21041998,199058,199058,0,0
HyperLogLog++,k=18,merge,25,10000000,6,21041998,198793,198793,0,0
HyperLogLog++,k=18,merge,25,10000000,7,21041998,199188,199188,0,0
HyperLogLog++,k=18,merge,25,10000000,8,21041998,199126,199126,0,0
HyperLogLog++,k=18,merge,25,10000000,9,21041998,199128,199128,0,0
HyperLogLog++,k=18,merge,25,10000000,10,21041998,198605,198605,0,0
HyperLogLog++,k=18,merge,25,10000000,11,21041998,198851,198851,0,0
HyperLogLog++,k=18,merge,25,10000000,12,21041998,198560,198560,0,0
HyperLogLog++,k=18,merge,25,10000000,13,21041998,199304,199304,0,0
HyperLogLog++,k=18,merge,25,10000000,14,21041998,198735,198735,0,0
HyperLogLog++,k=18,merge,25,10000000,15,21041998,198998,198998,0,0
HyperLogLog++,k=18,merge,25,10000000,16,21041998,198987,198987,0,0
HyperLogLog++,k=18,merge,25,10000000,17,21041998,198827,198827,0,0
HyperLogLog++,k=18,merge,25,10000000,18,21041998,198705,198705,0,0
HyperLogLog++,k=18,merge,25,10000000,19,21041998,198949,198949,0,0
HyperLogLog++,k=18,merge,25,10000000,20,21041998,198989,198989,0,0
HyperLogLog++,k=18,merge,25,10000000,21,21041998,199124,199124,0,0
HyperLogLog++,k=18,merge,25,10000000,22,21041998,198772,198772,0,0
HyperLogLog++,k=18,merge,25,10000000,23,21041998,199700,199700,0,0
HyperLogLog++,k=18,merge,25,10000000,24,21041998,199116,199116,0,0
