algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog++,k=10,merge,25,10000000,0,21041998,198942,198942,0,0
HyperLogLog++,k=10,merge,25,10000000,1,21041998,197785,197785,0,0
HyperLogLog++,k=10,merge,25,10000000,2,21041998,197216,197216,0,0
HyperLogLog++,k=10,merge,25,10000000,3,21041998,189231,189231,0,0
HyperLogLog++,k=10,merge,25,10000000,4,21041998,196391,196391,0,0
HyperLogLog++,k=10,merge,25,10000000,5,21041998,192256,192256,0,0
HyperLogLog++,k=10,merge,25,10000000,6,21041998,200865,200865,0,0
HyperLogLog++,k=10,merge,25,10000000,7,21041998,204152,204152,0,0
HyperLogLog++,k=10,merge,25,10000000,8,21041998,195355,195355,0,0
HyperLogLog++,k=10,merge,25,10000000,9,21041998,205901,205901,0,0
HyperLogLog++,k=10,merge,25,10000000,10,21041998,198329,198329,0,0
HyperLogLog++,k=10,merge,25,10000000,11,21041998,193251,193251,0,0
HyperLogLog++,k=10,merge,25,10000000,12,21041998,202766,202766,0,0
HyperLogLog++,k=10,merge,25,10000000,13,21041998,209231,209231,0,0
HyperLogLog++,k=10,merge,25,10000000,14,21041998,194423,194423,0,0
HyperLogLog++,k=10,merge,25,10000000,15,21041998,201728,201728,0,0
HyperLogLog++,k=10,merge,25,10000000,16,21041998,199857,199857,0,0
HyperLogLog++,k=10,merge,25,10000000,17,21041998,206698,206698,0,0
HyperLogLog++,k=10,merge,25,10000000,18,21041998,195640,195640,0,0
HyperLogLog++,k=10,merge,25,10000000,19,21041998,204272,204272,0,0
HyperLogLog++,k=10,merge,25,10000000,20,21041998,190137,190137,0,0
HyperLogLog++,k=10,merge,25,10000000,21,21041998,184823,184823,0,0
HyperLogLog++,k=10,merge,25,10000000,22,21041998,199067,199067,0,0
HyperLogLog++,k=10,merge,25,10000000,23,21041998,197820,197820,0,0
HyperLogLog++,k=10,merge,25,10000000,24,21041998,200456,200456,0,0
