algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog++,k=18,merge,25,10000000,0,21041998,199094,199094,0,0
HyperLogLog++,k=18,merge,25,10000000,1,21041998,199107,199107,0,0
HyperLogLog++,k=18,merge,25,10000000,2,21041998,198654,198654,0,0
HyperLogLog++,k=18,merge,25,10000000,3,21041998,199689,199689,0,0
HyperLogLog++,k=18,merge,25,10000000,4,21041998,199186,199186,0,0
HyperLogLog++,k=18,merge,25,10000000,5,21041998,198908,198908,0,0
HyperLogLog++,k=18,merge,25,10000000,6,21041998,198725,198725,0,0
HyperLogLog++,k=18,merge,25,10000000,7,21041998,199374,199374,0,0
HyperLogLog++,k=18,merge,25,10000000,8,21041998,199075,199075,0,0
HyperLogLog++,k=18,merge,25,10000000,9,21041998,199732,199732,0,0
HyperLogLog++,k=18,merge,25,10000000,10,21041998,199419,199419,0,0
HyperLogLog++,k=18,merge,25,10000000,11,21041998,199043,199043,0,0
HyperLogLog++,k=18,merge,25,10000000,12,21041998,198936,198936,0,0
HyperLogLog++,k=18,merge,25,10000000,13,21041998,198556,198556,0,0
HyperLogLog++,k=18,merge,25,10000000,14,21041998,199152,199152,0,0
HyperLogLog++,k=18,merge,25,10000000,15,21041998,199178,199178,0,0
HyperLogLog++,k=18,merge,25,10000000,16,21041998,199130,199130,0,0
HyperLogLog++,k=18,merge,25,10000000,17,21041998,199066,199066,0,0
HyperLogLog++,k=18,merge,25,10000000,18,21041998,199417,199417,0,0
HyperLogLog++,k=18,merge,25,10000000,19,21041998,198725,198725,0,0
HyperLogLog++,k=18,merge,25,10000000,20,21041998,199058,199058,0,0
HyperLogLog++,k=18,merge,25,10000000,21,21041998,198390,198390,0,0
HyperLogLog++,k=18,merge,25,10000000,22,21041998,199086,199086,0,0
HyperLogLog++,k=18,merge,25,10000000,23,21041998,199391,199391,0,0
HyperLogLog++,k=18,merge,25,10000000,24,21041998,199254,199254,0,0
