algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog++,k=10,merge,25,10000000,0,21041998,1913824,1913824,0,0
HyperLogLog++,k=10,merge,25,10000000,1,21041998,1923023,1923023,0,0
HyperLogLog++,k=10,merge,25,10000000,2,21041998,1879008,1879008,0,0
HyperLogLog++,k=10,merge,25,10000000,3,21041998,2000909,2000909,0,0
HyperLogLog++,k=10,merge,25,10000000,4,21041998,1847169,1847169,0,0
HyperLogLog++,k=10,merge,25,10000000,5,21041998,1908584,1908584,0,0
HyperLogLog++,k=10,merge,25,10000000,6,21041998,1850934,1850934,0,0
HyperLogLog++,k=10,merge,25,10000000,7,21041998,1901780,1901780,0,0
HyperLogLog++,k=10,merge,25,10000000,8,21041998,1908519,1908519,0,0
HyperLogLog++,k=10,merge,25,10000000,9,21041998,1907247,1907247,0,0
HyperLogLog++,k=10,merge,25,10000000,10,21041998,1960152,1960152,0,0
HyperLogLog++,k=10,merge,25,10000000,11,21041998,1968151,1968151,0,0
HyperLogLog++,k=10,merge,25,10000000,12,21041998,1830087,1830087,0,0
HyperLogLog++,k=10,merge,25,10000000,13,21041998,1882423,1882423,0,0
HyperLogLog++,k=10,merge,25,10000000,14,21041998,1893478,1893478,0,0
HyperLogLog++,k=10,merge,25,10000000,15,21041998,1904424,1904424,0,0
HyperLogLog++,k=10,merge,25,10000000,16,21041998,1984163,1984163,0,0
HyperLogLog++,k=10,merge,25,10000000,17,21041998,1944418,1944418,0,0
HyperLogLog++,k=10,merge,25,10000000,18,21041998,1905197,1905197,0,0
HyperLogLog++,k=10,merge,25,10000000,19,21041998,1920003,1920003,0,0
HyperLogLog++,k=10,merge,25,10000000,20,21041998,1795142,1795142,0,0
HyperLogLog++,k=10,merge,25,10000000,21,21041998,1931331,1931331,0,0
HyperLogLog++,k=10,merge,25,10000000,22,21041998,1992207,1992207,0,0
HyperLogLog++,k=10,merge,25,10000000,23,21041998,1906419,1906419,0,0
HyperLogLog++,k=10,merge,25,10000000,24,21041998,1872604,1872604,0,0
