algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199041,197537,196539,1504,0.007556232133,2502,0.01257027447,196539,998
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199046,197472,196380,1574,0.007907719824,2666,0.01339388885,196380,1092
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198993,194116,199227,4877,0.02450839979,234,0.001175920761,199227,5111
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199014,204948,192400,5934,0.0298169978,6614,0.03323384285,192400,12548
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199015,204276,199996,5261,0.02643519333,981,0.004929276688,199996,4280
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198981,202589,204527,3608,0.0181323845,5546,0.02787200788,204527,1938
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198949,202078,210006,3129,0.01572764879,11057,0.05557705744,210006,7928
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199005,199963,197455,958,0.004813949398,1550,0.007788749026,197455,2508
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198983,191524,191324,7459,0.03748561435,7659,0.03849072534,191324,200
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199064,206793,201408,7729,0.038826709,2344,0.0117751075,201408,5385
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198983,209535,194584,10552,0.0530296558,4399,0.02210741621,194584,14951
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,198972,205261,203990,6289,0.03160746236,5018,0.02521962889,203990,1271
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=10,unsafe_naive_merge,recoverable,pairwise,199015,192509,190856,6506,0.03269100319,8159,0.04099690978,190856,1653
