algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899825,nan,1895744,nan,nan,4081,0.002148092587,1895744,nan
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899999,nan,1902712,nan,nan,2713,0.001427895488,1902712,nan
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899415,nan,1914021,nan,nan,14606,0.00768973605,1914021,nan
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899684,nan,1901258,nan,nan,1574,0.0008285588551,1901258,nan
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899939,nan,1922329,nan,nan,22390,0.01178458887,1922329,nan
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899803,nan,1866109,nan,nan,33694,0.0177355231,1866109,nan
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899775,nan,1901009,nan,nan,1234,0.0006495506047,1901009,nan
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1900479,nan,1922915,nan,nan,22436,0.01180544484,1922915,nan
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899782,nan,1911733,nan,nan,11951,0.006290721778,1911733,nan
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1900202,nan,1926016,nan,nan,25814,0.0135848715,1926016,nan
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1900093,nan,1890155,nan,nan,9938,0.005230270308,1890155,nan
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899520,nan,1909495,nan,nan,9975,0.005251326651,1909495,nan
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1899889,nan,1901268,nan,nan,1379,0.0007258318775,1901268,nan
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,reject,recoverable,pairwise,1900236,nan,1887109,nan,nan,13127,0.006908089311,1887109,nan
