algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899825,1895744,1895744,4081,0.002148092587,4081,0.002148092587,1895744,0
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899999,1902712,1902712,2713,0.001427895488,2713,0.001427895488,1902712,0
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899415,1914021,1914021,14606,0.00768973605,14606,0.00768973605,1914021,0
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899684,1901258,1901258,1574,0.0008285588551,1574,0.0008285588551,1901258,0
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899939,1922329,1922329,22390,0.01178458887,22390,0.01178458887,1922329,0
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899803,1866109,1866109,33694,0.0177355231,33694,0.0177355231,1866109,0
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899775,1901009,1901009,1234,0.0006495506047,1234,0.0006495506047,1901009,0
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1900479,1922915,1922915,22436,0.01180544484,22436,0.01180544484,1922915,0
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899782,1911733,1911733,11951,0.006290721778,11951,0.006290721778,1911733,0
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1900202,1926016,1926016,25814,0.0135848715,25814,0.0135848715,1926016,0
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1900093,1890155,1890155,9938,0.005230270308,9938,0.005230270308,1890155,0
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899520,1909495,1909495,9975,0.005251326651,9975,0.005251326651,1909495,0
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1899889,1901268,1901268,1379,0.0007258318775,1379,0.0007258318775,1901268,0
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,xxhash64,21041998,21041998,k=18,k=14,reduce_then_merge,recoverable,pairwise,1900236,1887109,1887109,13127,0.006908089311,13127,0.006908089311,1887109,0
