algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899825,1984637,1895744,84812,0.0446420065,4081,0.002148092587,1895744,88893
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899999,1992192,1902712,92193,0.04852265712,2713,0.001427895488,1902712,89480
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899415,1986164,1914021,86749,0.04567143041,14606,0.00768973605,1914021,72143
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899684,1994721,1901258,95037,0.0500277941,1574,0.0008285588551,1901258,93463
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899939,2003508,1922329,103569,0.05451175011,22390,0.01178458887,1922329,81179
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899803,1951204,1866109,51401,0.02705596317,33694,0.0177355231,1866109,85095
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899775,1990635,1901009,90860,0.04782671632,1234,0.0006495506047,1901009,89626
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900479,2014280,1922915,113801,0.05988016705,22436,0.01180544484,1922915,91365
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899782,2001410,1911733,101628,0.05349455885,11951,0.006290721778,1911733,89677
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900202,2022267,1926016,122065,0.06423790734,25814,0.0135848715,1926016,96251
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900093,1986147,1890155,86054,0.04528936215,9938,0.005230270308,1890155,95992
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899520,1991808,1909495,92288,0.04858490566,9975,0.005251326651,1909495,82313
HyperLogLog++,merge_heterogeneous,25,10000000,12,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899889,1973041,1901268,73152,0.03850330204,1379,0.0007258318775,1901268,71773
HyperLogLog++,merge_heterogeneous,25,10000000,13,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900236,1985347,1887109,85111,0.04478969981,13127,0.006908089311,1887109,98238
HyperLogLog++,merge_heterogeneous,25,10000000,14,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899776,1974845,1893201,75069,0.03951465857,6575,0.003460934342,1893201,81644
HyperLogLog++,merge_heterogeneous,25,10000000,15,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900065,1992792,1924566,92727,0.04880201467,24501,0.01289482202,1924566,68226
HyperLogLog++,merge_heterogeneous,25,10000000,16,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900115,1991788,1910653,91673,0.04824602721,10538,0.005545980112,1910653,81135
HyperLogLog++,merge_heterogeneous,25,10000000,17,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900443,2005474,1885361,105031,0.05526658784,15082,0.007936044385,1885361,120113
HyperLogLog++,merge_heterogeneous,25,10000000,18,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900447,2004971,1917878,104524,0.05499969218,17431,0.00917205268,1917878,87093
HyperLogLog++,merge_heterogeneous,25,10000000,19,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900015,1991857,1900163,91842,0.04833751312,148,7.789412189e-05,1900163,91694
HyperLogLog++,merge_heterogeneous,25,10000000,20,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900150,2013660,1903139,113510,0.05973738915,2989,0.001573033708,1903139,110521
HyperLogLog++,merge_heterogeneous,25,10000000,21,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899601,2002964,1887791,103363,0.05441300568,11810,0.006217095064,1887791,115173
HyperLogLog++,merge_heterogeneous,25,10000000,22,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1900370,2011144,1911331,110774,0.05829075391,10961,0.005767824161,1911331,99813
HyperLogLog++,merge_heterogeneous,25,10000000,23,21041998,xxhash64,xxhash64,21041998,21041998,k=14,k=18,unsafe_naive_merge,recoverable,pairwise,1899707,1992588,1904456,92881,0.04889227655,4749,0.002499859189,1904456,88132
