algorithm,mode,pairs,sample_size,pair_index,dataset_seed,left_hash,right_hash,left_hash_seed,right_hash_seed,left_params,right_params,strategy,validity,topology,exact_union,estimate_merge,estimate_serial,error_merge_abs_exact,error_merge_rel_exact,error_serial_abs_exact,error_serial_rel_exact,baseline_homogeneous,delta_vs_baseline
HyperLogLog++,merge_heterogeneous,25,10000000,0,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899825,1805115,1805115,94710,0.04985196005,94710,0.04985196005,1805115,0
HyperLogLog++,merge_heterogeneous,25,10000000,1,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899999,1658384,1658384,241615,0.1271658564,241615,0.1271658564,1658384,0
HyperLogLog++,merge_heterogeneous,25,10000000,2,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899415,2023503,2023503,124088,0.06532958832,124088,0.06532958832,2023503,0
HyperLogLog++,merge_heterogeneous,25,10000000,3,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899684,1718579,1718579,181105,0.09533427665,181105,0.09533427665,1718579,0
HyperLogLog++,merge_heterogeneous,25,10000000,4,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899939,1653135,1653135,246804,0.1299010126,246804,0.1299010126,1653135,0
HyperLogLog++,merge_heterogeneous,25,10000000,5,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899803,1660636,1660636,239167,0.1258904213,239167,0.1258904213,1660636,0
HyperLogLog++,merge_heterogeneous,25,10000000,6,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899775,1979598,1979598,79823,0.04201708097,79823,0.04201708097,1979598,0
HyperLogLog++,merge_heterogeneous,25,10000000,7,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1900479,1997503,1997503,97024,0.05105239258,97024,0.05105239258,1997503,0
HyperLogLog++,merge_heterogeneous,25,10000000,8,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899782,1879952,1879952,19830,0.01043803973,19830,0.01043803973,1879952,0
HyperLogLog++,merge_heterogeneous,25,10000000,9,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1900202,1787919,1787919,112283,0.05909003359,112283,0.05909003359,1787919,0
HyperLogLog++,merge_heterogeneous,25,10000000,10,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1900093,1790513,1790513,109580,0.05767086137,109580,0.05767086137,1790513,0
HyperLogLog++,merge_heterogeneous,25,10000000,11,21041998,xxhash64,xxhash64,21041998,21041998,k=8,k=16,reduce_then_merge,recoverable,pairwise,1899520,1818148,1818148,81372,0.0428381907,81372,0.0428381907,1818148,0
