pair_group,strategy,d,rho,merge_rel_mean,serial_rel_mean,baseline_gap_rel_mean,degradation_ratio_mean
8 vs 10,unsafe_naive_merge,10000000,1,0.75922,0.04088,0.8001,18.57191780821918
8 vs 10,unsafe_naive_merge,1000000,10,0.053795087318160004,0.05865230484512,0.05675902104080967,1.6961510623006095
8 vs 10,unsafe_naive_merge,100000,100,0.05353408807988,0.05294466877232,0.05611356692591268,2.855632319645971
8 vs 10,reduce_then_merge,10000000,1,0.04088,0.04088,0.0,1.0
8 vs 10,reduce_then_merge,1000000,10,0.05865230484512,0.05865230484512,0.0,1.0
8 vs 10,reduce_then_merge,100000,100,0.05294466877232,0.05294466877232,0.0,1.0
8 vs 12,unsafe_naive_merge,10000000,1,0.8281228,0.04088,0.8690028,20.257407045009785
8 vs 12,unsafe_naive_merge,1000000,10,0.059744816536560004,0.05865230484512,0.0696508727317879,2.016473999179668
8 vs 12,unsafe_naive_merge,100000,100,0.059658527640056,0.05294466877232,0.06370365162777439,1.997751118360155
8 vs 12,reduce_then_merge,10000000,1,0.04088,0.04088,0.0,1.0
8 vs 12,reduce_then_merge,1000000,10,0.05865230484512,0.05865230484512,0.0,1.0
8 vs 12,reduce_then_merge,100000,100,0.05294466877232,0.05294466877232,0.0,1.0
8 vs 14,unsafe_naive_merge,10000000,1,0.9131053999999998,0.04088,0.9539854,22.336237769080235
8 vs 14,unsafe_naive_merge,1000000,10,0.06932417620696,0.05865230484512,0.07623992628876777,2.445537096328083
8 vs 14,unsafe_naive_merge,100000,100,0.05606670577272,0.05294466877232,0.07336792752545357,2.7710658024970383
8 vs 14,reduce_then_merge,10000000,1,0.04088,0.04088,0.0,1.0
8 vs 14,reduce_then_merge,1000000,10,0.05865230484512,0.05865230484512,0.0,1.0
8 vs 14,reduce_then_merge,100000,100,0.05294466877232,0.05294466877232,0.0,1.0
8 vs 16,unsafe_naive_merge,10000000,1,1.0272848,0.04088,1.0681648,25.129275929549905
8 vs 16,unsafe_naive_merge,1000000,10,0.0577258748216636,0.05865230484512,0.06736189346925857,1.957079510277388
8 vs 16,unsafe_naive_merge,100000,100,0.0468529578384,0.05294466877232,0.059531352847257295,1.615960374735466
8 vs 16,reduce_then_merge,10000000,1,0.04088,0.04088,0.0,1.0
