pairing,pair_group,strategy,validity,d,rho,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,baseline_gap_rel_mean,degradation_ratio_mean,merge_eq_serial_all,merge_eq_baseline_all
8->10,8 vs 10,unsafe_naive_merge,recoverable,10000000,1,25,0.75922,0.75922,0.75922,0.04088,8001000.0,8001000,0.8001,18.57191780821918,False,False
8->10,8 vs 10,unsafe_naive_merge,recoverable,1000000,10,25,0.053795087318160004,0.05312002796,0.1578448677,0.05865230484512,107839.2,254269,0.05675902104080967,1.6961510623006095,False,False
8->10,8 vs 10,unsafe_naive_merge,recoverable,100000,100,25,0.05353408807988,0.04783921921,0.1426984701,0.05294466877232,11166.84,27246,0.05611356692591268,2.855632319645971,False,False
8->10,8 vs 10,reduce_then_merge,recoverable,10000000,1,25,0.04088,0.04088,0.04088,0.04088,0.0,0,0.0,1.0,True,True
8->10,8 vs 10,reduce_then_merge,recoverable,1000000,10,25,0.05865230484512,0.0428381907,0.1455362195,0.05865230484512,0.0,0,0.0,1.0,True,True
8->10,8 vs 10,reduce_then_merge,recoverable,100000,100,25,0.05294466877232,0.04781409093,0.1164821135,0.05294466877232,0.0,0,0.0,1.0,True,True
8->12,8 vs 12,unsafe_naive_merge,recoverable,10000000,1,25,0.8281228,0.8281228,0.8281228,0.04088,8690028.0,8690028,0.8690028,20.257407045009785,False,False
8->12,8 vs 12,unsafe_naive_merge,recoverable,1000000,10,25,0.059744816536560004,0.05512782115,0.1290296433,0.05865230484512,132332.52,325840,0.0696508727317879,2.016473999179668,False,False
8->12,8 vs 12,unsafe_naive_merge,recoverable,100000,100,25,0.059658527640056,0.05858377726,0.1672025562,0.05294466877232,12677.76,51984,0.06370365162777439,1.997751118360155,False,False
8->12,8 vs 12,reduce_then_merge,recoverable,10000000,1,25,0.04088,0.04088,0.04088,0.04088,0.0,0,0.0,1.0,True,True
8->12,8 vs 12,reduce_then_merge,recoverable,1000000,10,25,0.05865230484512,0.0428381907,0.1455362195,0.05865230484512,0.0,0,0.0,1.0,True,True
8->12,8 vs 12,reduce_then_merge,recoverable,100000,100,25,0.05294466877232,0.04781409093,0.1164821135,0.05294466877232,0.0,0,0.0,1.0,True,True
8->14,8 vs 14,unsafe_naive_merge,recoverable,10000000,1,25,0.9131053999999998,0.9131054,0.9131054,0.04088,9539854.0,9539854,0.9539854,22.336237769080235,False,False
8->14,8 vs 14,unsafe_naive_merge,recoverable,1000000,10,25,0.06932417620696,0.07183627498,0.1510189365,0.05865230484512,144850.48,399307,0.07623992628876777,2.445537096328083,False,False
8->14,8 vs 14,unsafe_naive_merge,recoverable,100000,100,25,0.05606670577272,0.04675776323,0.1666348511,0.05294466877232,14600.64,39889,0.07336792752545357,2.7710658024970383,False,False
8->14,8 vs 14,reduce_then_merge,recoverable,10000000,1,25,0.04088,0.04088,0.04088,0.04088,0.0,0,0.0,1.0,True,True
8->14,8 vs 14,reduce_then_merge,recoverable,1000000,10,25,0.05865230484512,0.0428381907,0.1455362195,0.05865230484512,0.0,0,0.0,1.0,True,True
8->14,8 vs 14,reduce_then_merge,recoverable,100000,100,25,0.05294466877232,0.04781409093,0.1164821135,0.05294466877232,0.0,0,0.0,1.0,True,True
8->16,8 vs 16,unsafe_naive_merge,recoverable,10000000,1,25,1.0272848,1.0272848,1.0272848,0.04088,10681648.0,10681648,1.0681648,25.129275929549905,False,False
8->16,8 vs 16,unsafe_naive_merge,recoverable,1000000,10,25,0.0577258748216636,0.04780306818,0.1513884539,0.05865230484512,127979.56,404407,0.06736189346925857,1.957079510277388,False,False
8->16,8 vs 16,unsafe_naive_merge,recoverable,100000,100,25,0.0468529578384,0.03480100077,0.1069208308,0.05294466877232,11846.56,44201,0.059531352847257295,1.615960374735466,False,False
8->16,8 vs 16,reduce_then_merge,recoverable,10000000,1,25,0.04088,0.04088,0.04088,0.04088,0.0,0,0.0,1.0,True,True
