pairing,pair_group,strategy,validity,d,rho,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,baseline_gap_rel_mean,degradation_ratio_mean,merge_eq_serial_all,merge_eq_baseline_all
10->14,10 vs 14,reject,recoverable,100000,100,25,,,,0.02432809588288,,,,,False,False
10->14,10 vs 14,reject,recoverable,1000000,10,25,,,,0.02303149488648,,,,,False,False
10->14,10 vs 14,reject,recoverable,10000000,1,25,,,,0.0164168,,,,,False,False
10->14,10 vs 14,unsafe_naive_merge,recoverable,100000,100,25,0.03318839209768,0.03114338115,0.07378675898,0.02432809588288,4584.72,16088.0,0.023038046685074982,2.250120246906375,False,False
10->14,10 vs 14,unsafe_naive_merge,recoverable,1000000,10,25,0.04456027422168,0.03844060381,0.112764347,0.02303149488648,110469.8,238690.0,0.05814227781570928,4.394868154817702,False,False
10->14,10 vs 14,unsafe_naive_merge,recoverable,10000000,1,25,1.0613779,1.0613779,1.0613779,0.0164168,10449611.0,10449611.0,1.0449611,64.65193582184105,False,False
10->14,10 vs 14,reduce_then_merge,recoverable,100000,100,25,0.02432809588288,0.02210741621,0.0574181195,0.02432809588288,0.0,0.0,0.0,1.0,True,True
10->14,10 vs 14,reduce_then_merge,recoverable,1000000,10,25,0.02303149488648,0.02016441886,0.04711045986,0.02303149488648,0.0,0.0,0.0,1.0,True,True
10->14,10 vs 14,reduce_then_merge,recoverable,10000000,1,25,0.0164168,0.0164168,0.0164168,0.0164168,0.0,0.0,0.0,1.0,True,True
14->10,10 vs 14,reject,recoverable,100000,100,25,,,,0.02432809588288,,,,,False,False
14->10,10 vs 14,reject,recoverable,1000000,10,25,,,,0.02303149488648,,,,,False,False
14->10,10 vs 14,reject,recoverable,10000000,1,25,,,,0.0164168,,,,,False,False
14->10,10 vs 14,unsafe_naive_merge,recoverable,100000,100,25,0.024879854275439997,0.0181323845,0.06315033185,0.02432809588288,5636.08,19074.0,0.028321379816070667,2.0861304113875088,False,False
14->10,10 vs 14,unsafe_naive_merge,recoverable,1000000,10,25,0.05720482038728,0.05252766567,0.1248091876,0.02303149488648,130071.32,303410.0,0.06846048322268655,6.308800853853041,False,False
14->10,10 vs 14,unsafe_naive_merge,recoverable,10000000,1,25,1.0613779,1.0613779,1.0613779,0.0164168,10449611.0,10449611.0,1.0449611,64.65193582184105,False,False
14->10,10 vs 14,reduce_then_merge,recoverable,100000,100,25,0.02432809588288,0.02210741621,0.0574181195,0.02432809588288,0.0,0.0,0.0,1.0,True,True
14->10,10 vs 14,reduce_then_merge,recoverable,1000000,10,25,0.02303149488648,0.02016441886,0.04711045986,0.02303149488648,0.0,0.0,0.0,1.0,True,True
14->10,10 vs 14,reduce_then_merge,recoverable,10000000,1,25,0.0164168,0.0164168,0.0164168,0.0164168,0.0,0.0,0.0,1.0,True,True
10->18,10 vs 18,reject,recoverable,100000,100,25,,,,0.02432809588288,,,,,False,False
10->18,10 vs 18,reject,recoverable,1000000,10,25,,,,0.02303149488648,,,,,False,False
10->18,10 vs 18,reject,recoverable,10000000,1,25,,,,0.0164168,,,,,False,False
10->18,10 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.0195254159292,0.01718834811,0.04153325727,0.02432809588288,5097.32,19320.0,0.02561518452426219,1.6683052938487237,False,False
10->18,10 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.05089871025772,0.04869640175,0.1016805798,0.02303149488648,122632.88,258908.0,0.06454551870956132,6.084489864194886,False,False
10->18,10 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,1.0490454,1.0490454,1.0490454,0.0164168,10326286.0,10326286.0,1.0326286,63.90072364894499,False,False
