algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=14,L=32",streaming,50,10000000,1,100000,21041998,1,6504.64,0.3167346939,0.5627918744,0.01015625,0.5627918744,6503.64,6503.64,6503.64,6503.64,6503.640024,6503.64
LogLog,"k=14,L=32",streaming,50,10000000,102,100000,21041998,2,6505.24,0.2269387755,0.4763809143,0.01015625,0.2381904572,6503.24,6503.24,3251.62,3251.62,6503.240017,6503.24
LogLog,"k=14,L=32",streaming,50,10000000,203,100000,21041998,3,6505.6,0.5306122449,0.7284313591,0.01015625,0.242810453,6502.6,6502.6,2167.533333,2167.533333,6502.60004,6502.6
LogLog,"k=14,L=32",streaming,50,10000000,304,100000,21041998,4,6506.22,0.7465306122,0.86402003,0.01015625,0.2160050075,6502.22,6502.22,1625.555,1625.555,6502.220056,6502.22
LogLog,"k=14,L=32",streaming,50,10000000,405,100000,21041998,5,6506.86,0.6534693878,0.8083745343,0.01015625,0.1616749069,6501.86,6501.86,1300.372,1300.372,6501.860049,6501.86
LogLog,"k=14,L=32",streaming,50,10000000,506,100000,21041998,6,6507.38,1.015918367,1.007927759,0.01015625,0.1679879598,6501.38,6501.38,1083.563333,1083.563333,6501.380077,6501.38
LogLog,"k=14,L=32",streaming,50,10000000,607,100000,21041998,7,6508.04,1.590204082,1.261032942,0.01015625,0.1801475632,6501.04,6501.04,928.72,928.72,6501.04012,6501.04
LogLog,"k=14,L=32",streaming,50,10000000,708,100000,21041998,8,6508.6,1.387755102,1.178030179,0.01015625,0.1472537723,6500.6,6500.6,812.575,812.575,6500.600105,6500.6
LogLog,"k=14,L=32",streaming,50,10000000,809,100000,21041998,9,6509.12,1.617959184,1.271990245,0.01015625,0.1413322495,6500.12,6500.12,722.2355556,722.2355556,6500.120122,6500.12
LogLog,"k=14,L=32",streaming,50,10000000,910,100000,21041998,10,6509.54,1.600408163,1.265072394,0.01015625,0.1265072394,6499.54,6499.54,649.954,649.954,6499.540121,6499.54
