algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=31,streaming,50,10000000,1,100000,21041998,1,1.48,0.2546938776,0.5046720495,nan,0.5046720495,0.48,0.48,0.48,0.48,0.692820323,0.48
Probabilistic Counting,L=31,streaming,50,10000000,102,100000,21041998,2,2.42,2.330204082,1.5265006,nan,0.7632503,0.42,0.42,0.21,0.51,1.568438714,1.02
Probabilistic Counting,L=31,streaming,50,10000000,203,100000,21041998,3,3.22,4.583265306,2.140856209,nan,0.7136187362,0.22,0.22,0.07333333333,0.5933333333,2.130727575,1.78
Probabilistic Counting,L=31,streaming,50,10000000,304,100000,21041998,4,5.08,12.76897959,3.5733709,nan,0.8933427251,1.08,1.08,0.27,0.65,3.698648402,2.6
Probabilistic Counting,L=31,streaming,50,10000000,405,100000,21041998,5,6.18,24.43632653,4.943311292,nan,0.9886622584,1.18,1.18,0.236,0.604,5.033885179,3.02
Probabilistic Counting,L=31,streaming,50,10000000,506,100000,21041998,6,7.86,29.02081633,5.387097208,nan,0.8978495346,1.86,1.86,0.31,0.6766666667,5.648008499,4.06
Probabilistic Counting,L=31,streaming,50,10000000,607,100000,21041998,7,9.48,66.17306122,8.134682614,nan,1.162097516,2.48,2.48,0.3542857143,0.7314285714,8.426149773,5.12
Probabilistic Counting,L=31,streaming,50,10000000,708,100000,21041998,8,9.98,70.02,8.367795409,nan,1.045974426,1.98,1.98,0.2475,0.6825,8.51704174,5.46
Probabilistic Counting,L=31,streaming,50,10000000,809,100000,21041998,9,11.9,103.6836735,10.18251803,nan,1.131390892,2.9,2.9,0.3222222222,0.7177777778,10.4890419,6.46
Probabilistic Counting,L=31,streaming,50,10000000,910,100000,21041998,10,13.8,128,11.3137085,nan,1.13137085,3.8,3.8,0.38,0.684,11.82708755,6.84
Probabilistic Counting,L=31,streaming,50,10000000,1011,100000,21041998,11,16.2,210.0408163,14.49278497,nan,1.317525907,5.2,5.2,0.4727272727,0.7672727273,15.26040629,8.44
Probabilistic Counting,L=31,streaming,50,10000000,1112,100000,21041998,12,17.02,220.6322449,14.85369465,nan,1.237807888,5.02,5.02,0.4183333333,0.785,15.5376961,9.42
