algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=14,L=32",streaming,50,10000000,1,100000,21041998,1,1,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog,"k=14,L=32",streaming,50,10000000,1539,100000,21041998,16,16,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog,"k=14,L=32",streaming,50,10000000,4616,100000,21041998,47,46.98,0.02,0.1414213562,0.008125,0.003008965026,-0.02,0.02,-0.0004255319149,0.0004255319149,0.1414213562,0.02
HyperLogLog,"k=14,L=32",streaming,50,10000000,6154,100000,21041998,62,61.92,0.07510204082,0.2740475156,0.008125,0.00442012122,-0.08,0.08,-0.001290322581,0.001290322581,0.2828427125,0.08
HyperLogLog,"k=14,L=32",streaming,50,10000000,7693,100000,21041998,77,76.84,0.1371428571,0.3703280399,0.008125,0.004809455064,-0.16,0.16,-0.002077922078,0.002077922078,0.4,0.16
HyperLogLog,"k=14,L=32",streaming,50,10000000,10770,100000,21041998,108,107.68,0.3444897959,0.586932531,0.008125,0.005434560472,-0.32,0.32,-0.002962962963,0.002962962963,0.6633249581,0.32
HyperLogLog,"k=14,L=32",streaming,50,10000000,12308,100000,21041998,124,123.52,0.5404081633,0.7351245903,0.008125,0.005928424115,-0.48,0.48,-0.003870967742,0.003870967742,0.8717797887,0.48
HyperLogLog,"k=14,L=32",streaming,50,10000000,13847,100000,21041998,139,138.4,0.6530612245,0.8081220356,0.008125,0.005813827595,-0.6,0.6,-0.004316546763,0.004316546763,1,0.6
HyperLogLog,"k=14,L=32",streaming,50,10000000,16923,100000,21041998,170,169.18,0.8853061224,0.9409070743,0.008125,0.005534747496,-0.82,0.82,-0.004823529412,0.004823529412,1.240967365,0.82
HyperLogLog,"k=14,L=32",streaming,50,10000000,18462,100000,21041998,185,185.06,1.322857143,1.150155269,0.008125,0.006217055508,0.06,0.06,0.0003243243243,0.004432432432,1.140175425,0.82
