algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog++,k=14,streaming,50,10000000,1,100000,21041998,1,1,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,1539,100000,21041998,16,16,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,4616,100000,21041998,47,47,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,6154,100000,21041998,62,62,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,7693,100000,21041998,77,77,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,10770,100000,21041998,108,108,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,12308,100000,21041998,124,124,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,13847,100000,21041998,139,139,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,16923,100000,21041998,170,170,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,18462,100000,21041998,185,185,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,20000,100000,21041998,200,200,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,23077,100000,21041998,231,231,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,24616,100000,21041998,247,247,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,26154,100000,21041998,262,262,0,0,0.008125,0,0,0,0,0,0,0
HyperLogLog++,k=14,streaming,50,10000000,29231,100000,21041998,293,293,0,0,0.008125,0,0,0,0,0,0,0
