algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=14,L=32",streaming,50,10000000,1,100000,21041998,1,6504.64,0.3167346939,0.5627918744,0.01015625,0.5627918744,6503.64,6503.64,6503.64,6503.64,6503.640024,6503.64
LogLog,"k=14,L=32",streaming,50,10000000,1539,100000,21041998,16,6513.08,2.44244898,1.562833638,0.01015625,0.09767710237,6497.08,6497.08,406.0675,406.0675,6497.080184,6497.08
LogLog,"k=14,L=32",streaming,50,10000000,4616,100000,21041998,47,6530.08,5.013877551,2.239168942,0.01015625,0.04764189238,6483.08,6483.08,137.9378723,137.9378723,6483.080379,6483.08
LogLog,"k=14,L=32",streaming,50,10000000,6154,100000,21041998,62,6538.24,6.063673469,2.462452734,0.01015625,0.03971697959,6476.24,6476.24,104.4554839,104.4554839,6476.240459,6476.24
LogLog,"k=14,L=32",streaming,50,10000000,7693,100000,21041998,77,6546.72,7.879183673,2.806988364,0.01015625,0.03645439433,6469.72,6469.72,84.02233766,84.02233766,6469.720597,6469.72
LogLog,"k=14,L=32",streaming,50,10000000,10770,100000,21041998,108,6564.2,13.55102041,3.681171065,0.01015625,0.03408491727,6456.2,6456.2,59.77962963,59.77962963,6456.201028,6456.2
LogLog,"k=14,L=32",streaming,50,10000000,12308,100000,21041998,124,6573.08,15.38122449,3.921890423,0.01015625,0.03162814857,6449.08,6449.08,52.00870968,52.00870968,6449.081169,6449.08
LogLog,"k=14,L=32",streaming,50,10000000,13847,100000,21041998,139,6581.16,18.21877551,4.268345758,0.01015625,0.03070752344,6442.16,6442.16,46.34647482,46.34647482,6442.161386,6442.16
LogLog,"k=14,L=32",streaming,50,10000000,16923,100000,21041998,170,6598.74,23.82897959,4.881493582,0.01015625,0.02871466813,6428.74,6428.74,37.81611765,37.81611765,6428.741816,6428.74
LogLog,"k=14,L=32",streaming,50,10000000,18462,100000,21041998,185,6607.22,29.68530612,5.448422352,0.01015625,0.02945093163,6422.22,6422.22,34.7147027,34.7147027,6422.222265,6422.22
LogLog,"k=14,L=32",streaming,50,10000000,20000,100000,21041998,200,6615.64,32.68408163,5.716999356,0.01015625,0.02858499678,6415.64,6415.64,32.0782,32.0782,6415.642496,6415.64
LogLog,"k=14,L=32",streaming,50,10000000,23077,100000,21041998,231,6632.62,32.97510204,5.742395148,0.01015625,0.02485885346,6401.62,6401.62,27.71264069,27.71264069,6401.622524,6401.62
LogLog,"k=14,L=32",streaming,50,10000000,24616,100000,21041998,247,6641.2,38.53061224,6.207303138,0.01015625,0.02513078193,6394.2,6394.2,25.88744939,25.88744939,6394.202953,6394.2
LogLog,"k=14,L=32",streaming,50,10000000,26154,100000,21041998,262,6650.06,51.07795918,7.146884579,0.01015625,0.02727818542,6388.06,6388.06,24.3819084,24.3819084,6388.063918,6388.06
LogLog,"k=14,L=32",streaming,50,10000000,29231,100000,21041998,293,6667.12,61.4955102,7.841907307,0.01015625,0.02676418876,6374.12,6374.12,21.75467577,21.75467577,6374.124727,6374.12
