algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=31,streaming,50,10000000,1,100000,21041998,1,1.48,0.2546938776,0.5046720495,nan,0.5046720495,0.48,0.48,0.48,0.48,0.692820323,0.48
Probabilistic Counting,L=31,streaming,50,10000000,1539,100000,21041998,16,22.22,321.6036735,17.93331184,nan,1.12083199,6.22,6.22,0.38875,0.81125,18.8111669,12.98
Probabilistic Counting,L=31,streaming,50,10000000,4616,100000,21041998,47,59.66,3130.596327,55.95173211,nan,1.190462385,12.66,12.66,0.2693617021,0.7008510638,56.81777891,32.94
Probabilistic Counting,L=31,streaming,50,10000000,6154,100000,21041998,62,70.2,3588.244898,59.90196072,nan,0.9661606568,8.2,8.2,0.1322580645,0.6735483871,59.86417961,41.76
Probabilistic Counting,L=31,streaming,50,10000000,7693,100000,21041998,77,87.74,4457.216735,66.76239012,nan,0.8670440275,10.74,10.74,0.1394805195,0.5436363636,66.95834526,41.86
Probabilistic Counting,L=31,streaming,50,10000000,10770,100000,21041998,108,149.52,19751.31592,140.539375,nan,1.301290509,41.52,41.52,0.3844444444,0.832962963,145.1902201,89.96
Probabilistic Counting,L=31,streaming,50,10000000,12308,100000,21041998,124,170.18,20412.72204,142.8730977,nan,1.152202401,46.18,46.18,0.3724193548,0.810483871,148.7852815,100.5
Probabilistic Counting,L=31,streaming,50,10000000,13847,100000,21041998,139,227.22,49876.99143,223.3315728,nan,1.606701963,88.22,88.22,0.634676259,1.015971223,238.0382742,141.22
Probabilistic Counting,L=31,streaming,50,10000000,16923,100000,21041998,170,259.88,54041.2098,232.4676532,nan,1.367456784,89.88,89.88,0.5287058824,0.8849411765,247.0603165,150.44
Probabilistic Counting,L=31,streaming,50,10000000,18462,100000,21041998,185,264.84,53470.70857,231.2373425,nan,1.249931581,79.84,79.84,0.4315675676,0.8307027027,242.4370434,153.68
