algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
HyperLogLog,"k=6,L=32",streaming,50,10000000,1,100000,21041998,1,1,0,0,0.13,0,0,0,0,0,0,0
HyperLogLog,"k=6,L=32",streaming,50,10000000,1539,100000,21041998,16,16.04,2.773877551,1.665496188,0.13,0.1040935117,0.04,0.04,0.0025,0.0925,1.64924225,1.48
HyperLogLog,"k=6,L=32",streaming,50,10000000,4616,100000,21041998,47,48.9,23.47959184,4.845574459,0.13,0.1030973289,1.9,1.9,0.04042553191,0.09063829787,5.159457336,4.26
HyperLogLog,"k=6,L=32",streaming,50,10000000,6154,100000,21041998,62,63.74,47.62489796,6.901079478,0.13,0.1113077335,1.74,1.74,0.02806451613,0.09193548387,7.049822693,5.7
HyperLogLog,"k=6,L=32",streaming,50,10000000,7693,100000,21041998,77,80.4,106.6530612,10.3272969,0.13,0.1341207389,3.4,3.4,0.04415584416,0.1158441558,10.77404288,8.92
HyperLogLog,"k=6,L=32",streaming,50,10000000,10770,100000,21041998,108,112.78,225.2771429,15.00923525,0.13,0.1389744005,4.78,4.78,0.04425925926,0.1072222222,15.60833111,11.58
HyperLogLog,"k=6,L=32",streaming,50,10000000,12308,100000,21041998,124,130.02,308.142449,17.5539867,0.13,0.1415644089,6.02,6.02,0.0485483871,0.1056451613,18.39075855,13.1
HyperLogLog,"k=6,L=32",streaming,50,10000000,13847,100000,21041998,139,148.06,418.5473469,20.45842973,0.13,0.1471829477,9.06,9.06,0.06517985612,0.1250359712,22.18693309,17.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,16923,100000,21041998,170,177.22,350.6240816,18.72495879,0.13,0.1101468164,7.22,7.22,0.04247058824,0.09047058824,19.89321492,15.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,18462,100000,21041998,185,192.54,396.7432653,19.91841523,0.13,0.1076671094,7.54,7.54,0.04075675676,0.0827027027,21.11066081,15.3
HyperLogLog,"k=6,L=32",streaming,50,10000000,20000,100000,21041998,200,206.52,569.1526531,23.85692044,0.13,0.1192846022,6.52,6.52,0.0326,0.0844,24.50061224,16.88
HyperLogLog,"k=6,L=32",streaming,50,10000000,23077,100000,21041998,231,234.78,630.2159184,25.10410162,0.13,0.1086757646,3.78,3.78,0.01636363636,0.07523809524,25.13762121,17.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,24616,100000,21041998,247,249.94,699.2004082,26.44239793,0.13,0.1070542426,2.94,2.94,0.01190283401,0.07651821862,26.34122245,18.9
HyperLogLog,"k=6,L=32",streaming,50,10000000,26154,100000,21041998,262,262.74,777.135102,27.877143,0.13,0.1064013092,0.74,0.74,0.002824427481,0.08099236641,27.6068832,21.22
HyperLogLog,"k=6,L=32",streaming,50,10000000,29231,100000,21041998,293,293.52,1109.96898,33.31619696,0.13,0.1137071568,0.52,0.52,0.001774744027,0.08450511945,32.98545134,24.76
HyperLogLog,"k=6,L=32",streaming,50,10000000,30769,100000,21041998,308,307.36,1137.418776,33.72563973,0.13,0.1094988303,-0.64,0.64,-0.002077922078,0.08571428571,33.3928136,26.4
HyperLogLog,"k=6,L=32",streaming,50,10000000,32308,100000,21041998,324,322.14,1328.694286,36.45125904,0.13,0.1125038859,-1.86,1.86,-0.005740740741,0.08635802469,36.13281057,27.98
HyperLogLog,"k=6,L=32",streaming,50,10000000,35385,100000,21041998,354,352.42,1707.717959,41.32454427,0.13,0.1167360008,-1.58,1.58,-0.004463276836,0.09305084746,40.93971177,32.94
HyperLogLog,"k=6,L=32",streaming,50,10000000,36923,100000,21041998,370,368.94,1957.40449,44.24256423,0.13,0.1195744979,-1.06,1.06,-0.002864864865,0.09335135135,43.81072928,34.54
HyperLogLog,"k=6,L=32",streaming,50,10000000,38462,100000,21041998,385,382.7,1885.153061,43.41834936,0.13,0.1127749334,-2.3,2.3,-0.005974025974,0.08898701299,43.0434664,34.26
HyperLogLog,"k=6,L=32",streaming,50,10000000,41539,100000,21041998,416,412.3,2138.173469,46.24038786,0.13,0.1111547785,-3.7,3.7,-0.008894230769,0.09293269231,45.92493876,38.66
HyperLogLog,"k=6,L=32",streaming,50,10000000,43077,100000,21041998,431,426.94,2345.241224,48.42769068,0.13,0.1123612313,-4.06,4.06,-0.009419953596,0.09535962877,48.11257632,41.1
HyperLogLog,"k=6,L=32",streaming,50,10000000,44615,100000,21041998,447,443.74,2896.359592,53.81783712,0.13,0.1203978459,-3.26,3.26,-0.007293064877,0.09973154362,53.37658663,44.58
HyperLogLog,"k=6,L=32",streaming,50,10000000,47692,100000,21041998,477,472.26,3433.38,58.59505099,0.13,0.1228407777,-4.74,4.74,-0.009937106918,0.1045283019,58.19948453,49.86
HyperLogLog,"k=6,L=32",streaming,50,10000000,49231,100000,21041998,493,487.22,3724.215918,61.02635429,0.13,0.1237857085,-5.78,5.78,-0.01172413793,0.105030426,60.68887872,51.78
HyperLogLog,"k=6,L=32",streaming,50,10000000,50769,100000,21041998,508,499.84,4200.05551,64.80783525,0.13,0.1275744788,-8.16,8.16,-0.01606299213,0.108503937,64.67333299,55.12
HyperLogLog,"k=6,L=32",streaming,50,10000000,52308,100000,21041998,524,509.62,3946.322041,62.81975836,0.13,0.119885035,-14.38,14.38,-0.02744274809,0.1027862595,63.82930362,53.86
HyperLogLog,"k=6,L=32",streaming,50,10000000,55385,100000,21041998,554,535.02,4200.46898,64.81102514,0.13,0.11698741,-18.98,18.98,-0.0342599278,0.09880866426,66.90814599,54.74
HyperLogLog,"k=6,L=32",streaming,50,10000000,56923,100000,21041998,570,552.74,4475.869796,66.90194165,0.13,0.1173718274,-17.26,17.26,-0.03028070175,0.09975438596,68.44165398,56.86
HyperLogLog,"k=6,L=32",streaming,50,10000000,58461,100000,21041998,585,569.94,5412.424898,73.56918443,0.13,0.1257592896,-15.06,15.06,-0.02574358974,0.1058119658,74.37055869,61.9
HyperLogLog,"k=6,L=32",streaming,50,10000000,61538,100000,21041998,616,599,6611.306122,81.30993864,0.13,0.1319966536,-17,17,-0.0275974026,0.1138311688,82.26834142,70.12
HyperLogLog,"k=6,L=32",streaming,50,10000000,63077,100000,21041998,631,610.02,6389.285306,79.93300511,0.13,0.1266767117,-20.98,20.98,-0.03324881141,0.1096988906,81.86366715,69.22
HyperLogLog,"k=6,L=32",streaming,50,10000000,64615,100000,21041998,647,622.8,6442.163265,80.26308781,0.13,0.1240542316,-24.2,24.2,-0.03740340031,0.108748068,83.05997833,70.36
HyperLogLog,"k=6,L=32",streaming,50,10000000,67692,100000,21041998,677,654.42,7023.350612,83.80543307,0.13,0.1237894137,-22.58,22.58,-0.03335302806,0.107562777,85.98104442,72.82
HyperLogLog,"k=6,L=32",streaming,50,10000000,69231,100000,21041998,693,668.88,6919.577143,83.18399571,0.13,0.1200346258,-24.12,24.12,-0.03480519481,0.1053391053,85.80769196,73
HyperLogLog,"k=6,L=32",streaming,50,10000000,70769,100000,21041998,708,683.46,7232.416735,85.04361666,0.13,0.1201181026,-24.54,24.54,-0.03466101695,0.09985875706,87.69253104,70.7
HyperLogLog,"k=6,L=32",streaming,50,10000000,73846,100000,21041998,739,712.42,7639.636327,87.40501317,0.13,0.1182747134,-26.58,26.58,-0.03596752368,0.09653585927,90.51707021,71.34
HyperLogLog,"k=6,L=32",streaming,50,10000000,75384,100000,21041998,754,731.58,7873.473061,88.732593,0.13,0.1176824841,-22.42,22.42,-0.02973474801,0.09371352785,90.65682545,70.66
HyperLogLog,"k=6,L=32",streaming,50,10000000,76923,100000,21041998,770,751.7,8180.010204,90.44340885,0.13,0.1174589725,-18.3,18.3,-0.02376623377,0.09488311688,91.38544742,73.06
HyperLogLog,"k=6,L=32",streaming,50,10000000,80000,100000,21041998,800,779.8,8342.612245,91.33790147,0.13,0.1141723768,-20.2,20.2,-0.02525,0.09435,92.64879924,75.48
HyperLogLog,"k=6,L=32",streaming,50,10000000,81538,100000,21041998,816,794.04,8327.835102,91.2569729,0.13,0.1118345256,-21.96,21.96,-0.02691176471,0.09553921569,92.97053297,77.96
HyperLogLog,"k=6,L=32",streaming,50,10000000,83077,100000,21041998,831,804.18,8129.579184,90.16417905,0.13,0.1085008171,-26.82,26.82,-0.03227436823,0.09311672684,93.20032189,77.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,86153,100000,21041998,862,829.64,7541.092245,86.83946249,0.13,0.1007418358,-32.36,32.36,-0.03754060325,0.08538283063,91.85553876,73.6
HyperLogLog,"k=6,L=32",streaming,50,10000000,87692,100000,21041998,877,845.46,7222.702449,84.98648392,0.13,0.09690591097,-31.54,31.54,-0.03596351197,0.08134549601,89.84998609,71.34
HyperLogLog,"k=6,L=32",streaming,50,10000000,89230,100000,21041998,893,858.68,6550.099592,80.93268556,0.13,0.09063010701,-34.32,34.32,-0.03843225084,0.07852183651,87.16054153,70.12
HyperLogLog,"k=6,L=32",streaming,50,10000000,92307,100000,21041998,924,888.76,7768.349388,88.13824021,0.13,0.09538770586,-35.24,35.24,-0.03813852814,0.08125541126,94.1001594,75.08
HyperLogLog,"k=6,L=32",streaming,50,10000000,93846,100000,21041998,939,906.08,8082.442449,89.90240513,0.13,0.09574271047,-32.92,32.92,-0.03505857295,0.08097976571,94.89214931,76.04
HyperLogLog,"k=6,L=32",streaming,50,10000000,95384,100000,21041998,954,919.84,8763.606531,93.61413638,0.13,0.09812802556,-34.16,34.16,-0.03580712788,0.08113207547,98.7686185,77.4
HyperLogLog,"k=6,L=32",streaming,50,10000000,98461,100000,21041998,985,946.82,9257.456735,96.21567822,0.13,0.09768089159,-38.18,38.18,-0.03876142132,0.0854213198,102.6158857,84.14
HyperLogLog,"k=6,L=32",streaming,50,10000000,100000,100000,21041998,1000,962.6,10457.38776,102.2613698,0.13,0.1022613698,-37.4,37.4,-0.0374,0.09172,107.9212676,91.72
HyperLogLog,"k=6,L=32",streaming,50,10000000,102342,100000,21041998,1024,984.9,10948.17347,104.6335198,0.13,0.1021811717,-39.1,39.1,-0.03818359375,0.09294921875,110.7159428,95.18
HyperLogLog,"k=6,L=32",streaming,50,10000000,107190,100000,21041998,1072,1028.74,12557.6249,112.0608089,0.13,0.1045343367,-43.26,43.26,-0.04035447761,0.08979477612,119.0709872,96.26
HyperLogLog,"k=6,L=32",streaming,50,10000000,109699,100000,21041998,1097,1055.36,13421.33714,115.8504948,0.13,0.1056066498,-41.64,41.64,-0.03795806746,0.09144940747,122.0114749,100.32
HyperLogLog,"k=6,L=32",streaming,50,10000000,112267,100000,21041998,1123,1078.9,12736.7449,112.8571881,0.13,0.1004961603,-44.1,44.1,-0.039269813,0.08692787177,120.111698,97.62
HyperLogLog,"k=6,L=32",streaming,50,10000000,117585,100000,21041998,1176,1130.76,15554.30857,124.7169137,0.13,0.1060517974,-45.24,45.24,-0.03846938776,0.0912244898,131.4909883,107.28
HyperLogLog,"k=6,L=32",streaming,50,10000000,120338,100000,21041998,1204,1155.42,17355.71796,131.741102,0.13,0.1094195199,-48.58,48.58,-0.04034883721,0.09709302326,139.1711895,116.9
HyperLogLog,"k=6,L=32",streaming,50,10000000,123156,100000,21041998,1232,1188.18,19628.31388,140.1010845,0.13,0.1137184127,-43.82,43.82,-0.03556818182,0.09900974026,145.4508164,121.98
HyperLogLog,"k=6,L=32",streaming,50,10000000,128990,100000,21041998,1290,1242.38,20709.30163,143.9072675,0.13,0.1115560213,-47.62,47.62,-0.03691472868,0.09660465116,150.2091209,124.62
HyperLogLog,"k=6,L=32",streaming,50,10000000,132009,100000,21041998,1321,1278.02,25605.69347,160.0177911,0.13,0.1211338313,-42.98,42.98,-0.03253595761,0.1017259652,164.1367113,134.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,135100,100000,21041998,1351,1305.3,25328.7449,159.1500704,0.13,0.1178016805,-45.7,45.7,-0.03382679497,0.0985196151,164.044689,133.1
HyperLogLog,"k=6,L=32",streaming,50,10000000,141500,100000,21041998,1415,1371.58,26827.84041,163.7920645,0.13,0.1157541092,-43.42,43.42,-0.03068551237,0.09920848057,167.8588097,140.38
HyperLogLog,"k=6,L=32",streaming,50,10000000,144812,100000,21041998,1449,1402.22,25744.25673,160.450169,0.13,0.1107316556,-46.78,46.78,-0.03228433402,0.09370600414,165.5830305,135.78
HyperLogLog,"k=6,L=32",streaming,50,10000000,148203,100000,21041998,1483,1436.62,27786.15878,166.6918078,0.13,0.1124017584,-46.38,46.38,-0.0312744437,0.09366149697,171.4104431,138.9
HyperLogLog,"k=6,L=32",streaming,50,10000000,155223,100000,21041998,1553,1512.98,36414.79551,190.8266111,0.13,0.1228761179,-40.02,40.02,-0.02576947843,0.1006181584,193.1012688,156.26
HyperLogLog,"k=6,L=32",streaming,50,10000000,158857,100000,21041998,1589,1543.18,37733.08939,194.2500692,0.13,0.1222467396,-45.82,45.82,-0.02883574575,0.1010320957,197.6813092,160.54
HyperLogLog,"k=6,L=32",streaming,50,10000000,162576,100000,21041998,1626,1583.88,38264.55673,195.6132836,0.13,0.1203033725,-42.12,42.12,-0.02590405904,0.09650676507,198.1750741,156.92
HyperLogLog,"k=6,L=32",streaming,50,10000000,170277,100000,21041998,1703,1669.62,47487.13837,217.9154386,0.13,0.1279597408,-33.38,33.38,-0.01960070464,0.103758074,218.2925102,176.7
HyperLogLog,"k=6,L=32",streaming,50,10000000,174264,100000,21041998,1743,1720.76,55416.18612,235.4064275,0.13,0.1350581914,-22.24,22.24,-0.01275960987,0.1099713138,234.0992952,191.68
HyperLogLog,"k=6,L=32",streaming,50,10000000,178344,100000,21041998,1784,1753.7,57066.86735,238.8867249,0.13,0.1339051149,-30.3,30.3,-0.01698430493,0.1090246637,238.4190009,194.5
HyperLogLog,"k=6,L=32",streaming,50,10000000,186792,100000,21041998,1868,1825.88,57575.57714,239.9491137,0.13,0.1284524163,-42.12,42.12,-0.02254817987,0.1076017131,241.2429481,201
