algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=4,L=32",streaming,50,10000000,1,100000,21041998,1,6.24,0.186122449,0.4314191106,0.325,0.4314191106,5.24,5.24,5.24,5.24,5.257375771,5.24
LogLog,"k=4,L=32",streaming,50,10000000,1539,100000,21041998,16,19.2,27.55102041,5.248906592,0.325,0.328056662,3.2,3.2,0.2,0.27,6.102458521,4.32
LogLog,"k=4,L=32",streaming,50,10000000,4616,100000,21041998,47,53.04,376.0391837,19.39172978,0.325,0.4125899952,6.04,6.04,0.1285106383,0.3038297872,20.1246118,14.28
LogLog,"k=4,L=32",streaming,50,10000000,6154,100000,21041998,62,67.7,589.9693878,24.28928545,0.325,0.3917626686,5.7,5.7,0.09193548387,0.2951612903,24.71153577,18.3
LogLog,"k=4,L=32",streaming,50,10000000,7693,100000,21041998,77,83.58,792.0444898,28.14328499,0.325,0.3654972076,6.58,6.58,0.08545454545,0.2735064935,28.62691042,21.06
LogLog,"k=4,L=32",streaming,50,10000000,10770,100000,21041998,108,118,1723.591837,41.51616356,0.325,0.3844089219,10,10,0.09259259259,0.2825925926,42.2979905,30.52
LogLog,"k=4,L=32",streaming,50,10000000,12308,100000,21041998,124,135.76,2329.533061,48.26523657,0.325,0.3892357788,11.76,11.76,0.09483870968,0.2967741935,49.20609718,36.8
LogLog,"k=4,L=32",streaming,50,10000000,13847,100000,21041998,139,152.58,2728.983265,52.23967137,0.325,0.3758249739,13.58,13.58,0.09769784173,0.2876258993,53.46793432,39.98
LogLog,"k=4,L=32",streaming,50,10000000,16923,100000,21041998,170,187.34,4212.392245,64.90294481,0.325,0.3817820283,17.34,17.34,0.102,0.2772941176,66.54938016,47.14
LogLog,"k=4,L=32",streaming,50,10000000,18462,100000,21041998,185,209.88,5484.311837,74.05613976,0.325,0.4003034582,24.88,24.88,0.1344864865,0.3055135135,77.41860242,56.52
LogLog,"k=4,L=32",streaming,50,10000000,20000,100000,21041998,200,223.74,7069.788163,84.08203234,0.325,0.4204101617,23.74,23.74,0.1187,0.2967,86.5562245,59.34
LogLog,"k=4,L=32",streaming,50,10000000,23077,100000,21041998,231,252.88,9938.638367,99.69271973,0.325,0.4315702153,21.88,21.88,0.09471861472,0.2941991342,101.0870912,67.96
LogLog,"k=4,L=32",streaming,50,10000000,24616,100000,21041998,247,265.24,10173.08408,100.8617077,0.325,0.4083469948,18.24,18.24,0.07384615385,0.2814574899,101.5003448,69.52
LogLog,"k=4,L=32",streaming,50,10000000,26154,100000,21041998,262,273.86,10090.81673,100.4530574,0.325,0.3834086159,11.86,11.86,0.04526717557,0.2628244275,100.1481902,68.86
LogLog,"k=4,L=32",streaming,50,10000000,29231,100000,21041998,293,300.92,13130.32,114.5876084,0.325,0.3910839877,7.92,7.92,0.02703071672,0.251331058,113.7120926,73.64
LogLog,"k=4,L=32",streaming,50,10000000,30769,100000,21041998,308,318.28,14029.59347,118.4465849,0.325,0.384566834,10.28,10.28,0.03337662338,0.2462337662,117.7059047,75.84
LogLog,"k=4,L=32",streaming,50,10000000,32308,100000,21041998,324,330.06,13834.75143,117.6212201,0.325,0.3630284572,6.06,6.06,0.0187037037,0.2345061728,116.5966552,75.98
LogLog,"k=4,L=32",streaming,50,10000000,35385,100000,21041998,354,359.26,13636.48204,116.7753486,0.325,0.3298738661,5.26,5.26,0.01485875706,0.2148587571,115.7213031,76.06
LogLog,"k=4,L=32",streaming,50,10000000,36923,100000,21041998,370,371.68,14469.12,120.2876552,0.325,0.3251017709,1.68,1.68,0.004540540541,0.2161081081,119.0905538,79.96
LogLog,"k=4,L=32",streaming,50,10000000,38462,100000,21041998,385,378.36,14179.01061,119.0756508,0.325,0.3092874047,-6.64,6.64,-0.01724675325,0.2059220779,118.0657444,79.28
LogLog,"k=4,L=32",streaming,50,10000000,41539,100000,21041998,416,407.58,15356.49347,123.9213197,0.325,0.2978877877,-8.42,8.42,-0.02024038462,0.2047596154,122.9644664,85.18
LogLog,"k=4,L=32",streaming,50,10000000,43077,100000,21041998,431,420.74,15921.95143,126.1822152,0.325,0.2927661605,-10.26,10.26,-0.02380510441,0.2068213457,125.334672,89.14
LogLog,"k=4,L=32",streaming,50,10000000,44615,100000,21041998,447,440.38,17068.11796,130.6450074,0.325,0.2922707101,-6.62,6.62,-0.0148098434,0.2171364653,129.5012741,97.06
LogLog,"k=4,L=32",streaming,50,10000000,47692,100000,21041998,477,475.18,33911.78327,184.1515226,0.325,0.3860618922,-1.82,1.82,-0.003815513627,0.2408805031,182.3097913,114.9
LogLog,"k=4,L=32",streaming,50,10000000,49231,100000,21041998,493,482.18,33495.45673,183.0176405,0.325,0.3712325365,-10.82,10.82,-0.02194726166,0.235010142,181.5010193,115.86
