algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=4,streaming,50,10000000,1,100000,21041998,1,1.48,0.2546938776,0.5046720495,nan,0.5046720495,0.48,0.48,0.48,0.48,0.692820323,0.48
Probabilistic Counting,L=4,streaming,50,10000000,1539,100000,21041998,16,14.7,33.07142857,5.750776345,nan,0.3594235216,-1.3,1.3,-0.08125,0.34125,5.839520528,5.46
Probabilistic Counting,L=4,streaming,50,10000000,4616,100000,21041998,47,19.4,5.755102041,2.398979375,nan,0.05104211436,-27.6,27.6,-0.5872340426,0.5872340426,27.70198549,27.6
Probabilistic Counting,L=4,streaming,50,10000000,6154,100000,21041998,62,19.6,3.918367347,1.979486637,nan,0.03192720383,-42.4,42.4,-0.6838709677,0.6838709677,42.44525886,42.4
Probabilistic Counting,L=4,streaming,50,10000000,7693,100000,21041998,77,19.8,2,1.414213562,nan,0.0183664099,-57.2,57.2,-0.7428571429,0.7428571429,57.2171303,57.2
Probabilistic Counting,L=4,streaming,50,10000000,10770,100000,21041998,108,20,0,0,nan,0,-88,88,-0.8148148148,0.8148148148,88,88
Probabilistic Counting,L=4,streaming,50,10000000,12308,100000,21041998,124,20,0,0,nan,0,-104,104,-0.8387096774,0.8387096774,104,104
Probabilistic Counting,L=4,streaming,50,10000000,13847,100000,21041998,139,20,0,0,nan,0,-119,119,-0.8561151079,0.8561151079,119,119
Probabilistic Counting,L=4,streaming,50,10000000,16923,100000,21041998,170,20,0,0,nan,0,-150,150,-0.8823529412,0.8823529412,150,150
Probabilistic Counting,L=4,streaming,50,10000000,18462,100000,21041998,185,20,0,0,nan,0,-165,165,-0.8918918919,0.8918918919,165,165
Probabilistic Counting,L=4,streaming,50,10000000,20000,100000,21041998,200,20,0,0,nan,0,-180,180,-0.9,0.9,180,180
Probabilistic Counting,L=4,streaming,50,10000000,23077,100000,21041998,231,20,0,0,nan,0,-211,211,-0.9134199134,0.9134199134,211,211
Probabilistic Counting,L=4,streaming,50,10000000,24616,100000,21041998,247,20,0,0,nan,0,-227,227,-0.9190283401,0.9190283401,227,227
Probabilistic Counting,L=4,streaming,50,10000000,26154,100000,21041998,262,20,0,0,nan,0,-242,242,-0.9236641221,0.9236641221,242,242
Probabilistic Counting,L=4,streaming,50,10000000,29231,100000,21041998,293,20,0,0,nan,0,-273,273,-0.9317406143,0.9317406143,273,273
Probabilistic Counting,L=4,streaming,50,10000000,30769,100000,21041998,308,20,0,0,nan,0,-288,288,-0.9350649351,0.9350649351,288,288
Probabilistic Counting,L=4,streaming,50,10000000,32308,100000,21041998,324,20,0,0,nan,0,-304,304,-0.9382716049,0.9382716049,304,304
Probabilistic Counting,L=4,streaming,50,10000000,35385,100000,21041998,354,20,0,0,nan,0,-334,334,-0.9435028249,0.9435028249,334,334
Probabilistic Counting,L=4,streaming,50,10000000,36923,100000,21041998,370,20,0,0,nan,0,-350,350,-0.9459459459,0.9459459459,350,350
Probabilistic Counting,L=4,streaming,50,10000000,38462,100000,21041998,385,20,0,0,nan,0,-365,365,-0.9480519481,0.9480519481,365,365
Probabilistic Counting,L=4,streaming,50,10000000,41539,100000,21041998,416,20,0,0,nan,0,-396,396,-0.9519230769,0.9519230769,396,396
Probabilistic Counting,L=4,streaming,50,10000000,43077,100000,21041998,431,20,0,0,nan,0,-411,411,-0.9535962877,0.9535962877,411,411
Probabilistic Counting,L=4,streaming,50,10000000,44615,100000,21041998,447,20,0,0,nan,0,-427,427,-0.9552572707,0.9552572707,427,427
Probabilistic Counting,L=4,streaming,50,10000000,47692,100000,21041998,477,20,0,0,nan,0,-457,457,-0.9580712788,0.9580712788,457,457
Probabilistic Counting,L=4,streaming,50,10000000,49231,100000,21041998,493,20,0,0,nan,0,-473,473,-0.9594320487,0.9594320487,473,473
Probabilistic Counting,L=4,streaming,50,10000000,50769,100000,21041998,508,20,0,0,nan,0,-488,488,-0.9606299213,0.9606299213,488,488
Probabilistic Counting,L=4,streaming,50,10000000,52308,100000,21041998,524,20,0,0,nan,0,-504,504,-0.9618320611,0.9618320611,504,504
Probabilistic Counting,L=4,streaming,50,10000000,55385,100000,21041998,554,20,0,0,nan,0,-534,534,-0.963898917,0.963898917,534,534
Probabilistic Counting,L=4,streaming,50,10000000,56923,100000,21041998,570,20,0,0,nan,0,-550,550,-0.9649122807,0.9649122807,550,550
Probabilistic Counting,L=4,streaming,50,10000000,58461,100000,21041998,585,20,0,0,nan,0,-565,565,-0.9658119658,0.9658119658,565,565
Probabilistic Counting,L=4,streaming,50,10000000,61538,100000,21041998,616,20,0,0,nan,0,-596,596,-0.9675324675,0.9675324675,596,596
Probabilistic Counting,L=4,streaming,50,10000000,63077,100000,21041998,631,20,0,0,nan,0,-611,611,-0.9683042789,0.9683042789,611,611
Probabilistic Counting,L=4,streaming,50,10000000,64615,100000,21041998,647,20,0,0,nan,0,-627,627,-0.9690880989,0.9690880989,627,627
Probabilistic Counting,L=4,streaming,50,10000000,67692,100000,21041998,677,20,0,0,nan,0,-657,657,-0.9704579025,0.9704579025,657,657
Probabilistic Counting,L=4,streaming,50,10000000,69231,100000,21041998,693,20,0,0,nan,0,-673,673,-0.9711399711,0.9711399711,673,673
Probabilistic Counting,L=4,streaming,50,10000000,70769,100000,21041998,708,20,0,0,nan,0,-688,688,-0.9717514124,0.9717514124,688,688
Probabilistic Counting,L=4,streaming,50,10000000,73846,100000,21041998,739,20,0,0,nan,0,-719,719,-0.9729364005,0.9729364005,719,719
Probabilistic Counting,L=4,streaming,50,10000000,75384,100000,21041998,754,20,0,0,nan,0,-734,734,-0.9734748011,0.9734748011,734,734
Probabilistic Counting,L=4,streaming,50,10000000,76923,100000,21041998,770,20,0,0,nan,0,-750,750,-0.974025974,0.974025974,750,750
Probabilistic Counting,L=4,streaming,50,10000000,80000,100000,21041998,800,20,0,0,nan,0,-780,780,-0.975,0.975,780,780
Probabilistic Counting,L=4,streaming,50,10000000,81538,100000,21041998,816,20,0,0,nan,0,-796,796,-0.9754901961,0.9754901961,796,796
Probabilistic Counting,L=4,streaming,50,10000000,83077,100000,21041998,831,20,0,0,nan,0,-811,811,-0.9759326113,0.9759326113,811,811
Probabilistic Counting,L=4,streaming,50,10000000,86153,100000,21041998,862,20,0,0,nan,0,-842,842,-0.9767981439,0.9767981439,842,842
Probabilistic Counting,L=4,streaming,50,10000000,87692,100000,21041998,877,20,0,0,nan,0,-857,857,-0.9771949829,0.9771949829,857,857
Probabilistic Counting,L=4,streaming,50,10000000,89230,100000,21041998,893,20,0,0,nan,0,-873,873,-0.9776035834,0.9776035834,873,873
Probabilistic Counting,L=4,streaming,50,10000000,92307,100000,21041998,924,20,0,0,nan,0,-904,904,-0.9783549784,0.9783549784,904,904
Probabilistic Counting,L=4,streaming,50,10000000,93846,100000,21041998,939,20,0,0,nan,0,-919,919,-0.9787007455,0.9787007455,919,919
Probabilistic Counting,L=4,streaming,50,10000000,95384,100000,21041998,954,20,0,0,nan,0,-934,934,-0.9790356394,0.9790356394,934,934
Probabilistic Counting,L=4,streaming,50,10000000,98461,100000,21041998,985,20,0,0,nan,0,-965,965,-0.9796954315,0.9796954315,965,965
Probabilistic Counting,L=4,streaming,50,10000000,100000,100000,21041998,1000,20,0,0,nan,0,-980,980,-0.98,0.98,980,980
Probabilistic Counting,L=4,streaming,50,10000000,102342,100000,21041998,1024,20,0,0,nan,0,-1004,1004,-0.98046875,0.98046875,1004,1004
Probabilistic Counting,L=4,streaming,50,10000000,107190,100000,21041998,1072,20,0,0,nan,0,-1052,1052,-0.9813432836,0.9813432836,1052,1052
Probabilistic Counting,L=4,streaming,50,10000000,109699,100000,21041998,1097,20,0,0,nan,0,-1077,1077,-0.9817684594,0.9817684594,1077,1077
Probabilistic Counting,L=4,streaming,50,10000000,112267,100000,21041998,1123,20,0,0,nan,0,-1103,1103,-0.982190561,0.982190561,1103,1103
Probabilistic Counting,L=4,streaming,50,10000000,117585,100000,21041998,1176,20,0,0,nan,0,-1156,1156,-0.9829931973,0.9829931973,1156,1156
Probabilistic Counting,L=4,streaming,50,10000000,120338,100000,21041998,1204,20,0,0,nan,0,-1184,1184,-0.9833887043,0.9833887043,1184,1184
Probabilistic Counting,L=4,streaming,50,10000000,123156,100000,21041998,1232,20,0,0,nan,0,-1212,1212,-0.9837662338,0.9837662338,1212,1212
Probabilistic Counting,L=4,streaming,50,10000000,128990,100000,21041998,1290,20,0,0,nan,0,-1270,1270,-0.984496124,0.984496124,1270,1270
Probabilistic Counting,L=4,streaming,50,10000000,132009,100000,21041998,1321,20,0,0,nan,0,-1301,1301,-0.9848599546,0.9848599546,1301,1301
Probabilistic Counting,L=4,streaming,50,10000000,135100,100000,21041998,1351,20,0,0,nan,0,-1331,1331,-0.985196151,0.985196151,1331,1331
Probabilistic Counting,L=4,streaming,50,10000000,141500,100000,21041998,1415,20,0,0,nan,0,-1395,1395,-0.9858657244,0.9858657244,1395,1395
Probabilistic Counting,L=4,streaming,50,10000000,144812,100000,21041998,1449,20,0,0,nan,0,-1429,1429,-0.9861973775,0.9861973775,1429,1429
Probabilistic Counting,L=4,streaming,50,10000000,148203,100000,21041998,1483,20,0,0,nan,0,-1463,1463,-0.9865138233,0.9865138233,1463,1463
